subject,f1,acc
1,0.6944444444444445,0.6944444444444444
2,0.6111111111111112,0.6111111111111112
4,0.5277777777777778,0.5277777777777778
5,0.6666666666666666,0.6666666666666666
6,0.7777777777777777,0.7777777777777778
8,0.5833333333333334,0.5833333333333334
11,0.5833333333333334,0.5833333333333334
12,0.6111111111111112,0.6111111111111112
13,0.5555555555555556,0.5555555555555556
15,0.3888888888888889,0.3888888888888889
16,0.638888888888889,0.6388888888888888
18,0.47222222222222227,0.4722222222222222
21,0.47222222222222227,0.4722222222222222
22,0.5000000000000001,0.5
24,0.5833333333333334,0.5833333333333334
25,0.5277777777777778,0.5277777777777778
27,0.638888888888889,0.6388888888888888
28,0.6666666666666666,0.6666666666666666
29,0.5555555555555556,0.5555555555555556
30,0.5555555555555555,0.5555555555555556
34,0.6944444444444445,0.6944444444444444
36,0.3611111111111111,0.3611111111111111
37,0.6388888888888888,0.6388888888888888
41,0.5000000000000001,0.5
42,0.7222222222222222,0.7222222222222222
43,0.6111111111111112,0.6111111111111112
44,0.6944444444444445,0.6944444444444444
45,0.5277777777777778,0.5277777777777778
46,0.3055555555555555,0.3055555555555556
47,0.638888888888889,0.6388888888888888
48,0.7222222222222223,0.7222222222222222
49,0.6944444444444445,0.6944444444444444
52,0.6111111111111112,0.6111111111111112
53,0.7222222222222222,0.7222222222222222
55,0.2777777777777778,0.2777777777777778
56,0.4166666666666667,0.4166666666666667
57,0.5555555555555556,0.5555555555555556
58,0.5277777777777778,0.5277777777777778
59,0.7777777777777777,0.7777777777777778
60,0.5277777777777778,0.5277777777777778
63,0.4444444444444444,0.4444444444444444
