subject,f1,acc
1,0.6666666666666666,0.6666666666666666
2,0.5,0.5
4,0.5,0.5
5,0.6944444444444445,0.6944444444444444
6,0.6666666666666666,0.6666666666666666
8,0.5833333333333334,0.5833333333333334
11,0.36111111111111116,0.3611111111111111
12,0.5277777777777778,0.5277777777777778
13,0.6666666666666666,0.6666666666666666
15,0.4166666666666667,0.4166666666666667
16,0.6944444444444445,0.6944444444444444
18,0.5,0.5
21,0.5277777777777778,0.5277777777777778
22,0.4444444444444444,0.4444444444444444
24,0.5833333333333334,0.5833333333333334
25,0.3611111111111111,0.3611111111111111
27,0.5833333333333334,0.5833333333333334
28,0.6666666666666666,0.6666666666666666
29,0.611111111111111,0.6111111111111112
30,0.5833333333333334,0.5833333333333334
34,0.75,0.75
36,0.4166666666666667,0.4166666666666667
37,0.6388888888888888,0.6388888888888888
41,0.5277777777777778,0.5277777777777778
42,0.6666666666666666,0.6666666666666666
43,0.6111111111111112,0.6111111111111112
44,0.75,0.75
45,0.4166666666666667,0.4166666666666667
46,0.3611111111111111,0.3611111111111111
47,0.638888888888889,0.6388888888888888
48,0.6666666666666666,0.6666666666666666
49,0.5833333333333334,0.5833333333333334
52,0.5833333333333334,0.5833333333333334
53,0.75,0.75
55,0.27777777777777773,0.2777777777777778
56,0.4444444444444444,0.4444444444444444
57,0.5277777777777778,0.5277777777777778
58,0.5833333333333334,0.5833333333333334
59,0.6944444444444445,0.6944444444444444
60,0.5555555555555556,0.5555555555555556
63,0.38888888888888884,0.3888888888888889
