config,mean,std,min,max,median,q25,q75,n
baseline LOSO,0.5602981029810299,0.12074588774283447,0.27777777777777773,0.75,0.5833333333333334,0.5,0.6666666666666666,41
baseline VAL,0.5972222222222222,0.0921284663987611,0.4444444444444445,0.7222222222222223,0.6111111111111112,0.5208333333333334,0.6666666666666666,12
multiview LOSO,0.5752032520325202,0.11951611261392782,0.2777777777777778,0.7777777777777777,0.5833333333333334,0.5277777777777778,0.6666666666666666,41
multiview VAL,0.5925925925925926,0.07237099414210331,0.47222222222222215,0.6944444444444445,0.625,0.5277777777777778,0.638888888888889,12
