frac,n_subj,train_f1,val_f1
0.1,4,1.0,0.7818181818181819
0.2,8,1.0,0.78125
0.4,16,1.0,0.7992172211350294
0.6,24,1.0,0.7886497064579256
0.8,32,0.9990240720424597,0.802225572721779
1.0,41,0.9984756097560976,0.8082020155331067
