config_id,base_config_id,resample_tag,norm_id,feature_set,model_id,refine_id,split,n_features,macro_f1_mean,accuracy_mean,balanced_accuracy_mean,precision_nopain_mean,recall_nopain_mean
poly1022|subject_robust|bvp_eda_core|rf|base,poly1022|subject_robust|bvp_eda_core|rf|base,poly1022,subject_robust,bvp_eda_core,rf,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
linear1022|subject_z|bvp_eda_core|xgb|base,linear1022|subject_z|bvp_eda_core|xgb|base,linear1022,subject_z,bvp_eda_core,xgb,base,train_loso,99,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
linear1022|subject_robust|bvp_eda_core|rf|base,linear1022|subject_robust|bvp_eda_core|rf|base,linear1022,subject_robust,bvp_eda_core,rf,base,train_loso,99,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,base,train_loso,98,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
linear1022|subject_robust|bvp_eda_resp_small|xgb|base,linear1022|subject_robust|bvp_eda_resp_small|xgb|base,linear1022,subject_robust,bvp_eda_resp_small,xgb,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
poly1022|subject_z|bvp_eda_resp_small|xgb|base,poly1022|subject_z|bvp_eda_resp_small|xgb|base,poly1022,subject_z,bvp_eda_resp_small,xgb,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
poly1022|subject_z|bvp_eda_resp_small|logreg|base,poly1022|subject_z|bvp_eda_resp_small|logreg|base,poly1022,subject_z,bvp_eda_resp_small,logreg,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
truncate1022|subject_z|bvp_eda_resp_small|xgb|base,truncate1022|subject_z|bvp_eda_resp_small|xgb|base,truncate1022,subject_z,bvp_eda_resp_small,xgb,base,train_loso,70,0.8033536585365854,0.8252032520325203,0.8033536585365854,0.7378048780487805,0.7378048780487805
truncate1022|subject_robust|bvp_eda_resp_small|rf|base,truncate1022|subject_robust|bvp_eda_resp_small|rf|base,truncate1022,subject_robust,bvp_eda_resp_small,rf,base,train_loso,70,0.8033536585365854,0.8252032520325203,0.8033536585365854,0.7378048780487805,0.7378048780487805
poly1022|subject_robust|bvp_eda_resp_small|rf|base,poly1022|subject_robust|bvp_eda_resp_small|rf|base,poly1022,subject_robust,bvp_eda_resp_small,rf,base,train_loso,70,0.8033536585365854,0.8252032520325203,0.8033536585365854,0.7378048780487805,0.7378048780487805
linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,base,train_loso,99,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
linear1022|subject_robust|bvp_eda_resp_small|rf|base,linear1022|subject_robust|bvp_eda_resp_small|rf|base,linear1022,subject_robust,bvp_eda_resp_small,rf,base,train_loso,70,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,base,train_loso,99,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
poly1022|subject_robust|bvp_eda_resp_small|xgb|base,poly1022|subject_robust|bvp_eda_resp_small|xgb|base,poly1022,subject_robust,bvp_eda_resp_small,xgb,base,train_loso,70,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,base,train_loso,70,0.7942073170731707,0.8170731707317073,0.7942073170731707,0.725609756097561,0.725609756097561
linear1022|subject_robust|bvp_only|logreg|base,linear1022|subject_robust|bvp_only|logreg|base,linear1022,subject_robust,bvp_only,logreg,base,train_loso,52,0.7942073170731707,0.8170731707317073,0.7942073170731707,0.725609756097561,0.725609756097561
truncate1022|subject_robust|bvp_only|logreg|base,truncate1022|subject_robust|bvp_only|logreg|base,truncate1022,subject_robust,bvp_only,logreg,base,train_loso,52,0.7926829268292683,0.8157181571815718,0.7926829268292683,0.7235772357723578,0.7235772357723578
poly1022|subject_z|bvp_only|logreg|base,poly1022|subject_z|bvp_only|logreg|base,poly1022,subject_z,bvp_only,logreg,base,train_loso,52,0.7926829268292683,0.8157181571815718,0.7926829268292683,0.7235772357723578,0.7235772357723578
truncate1022|subject_z|bvp_only|logreg|base,truncate1022|subject_z|bvp_only|logreg|base,truncate1022,subject_z,bvp_only,logreg,base,train_loso,52,0.7911585365853658,0.8143631436314364,0.7911585365853658,0.7215447154471545,0.7215447154471545
poly1022|subject_robust|bvp_only|logreg|base,poly1022|subject_robust|bvp_only|logreg|base,poly1022,subject_robust,bvp_only,logreg,base,train_loso,52,0.7911585365853658,0.8143631436314364,0.7911585365853658,0.7215447154471545,0.7215447154471545
linear1022|subject_z|bvp_only|logreg|base,linear1022|subject_z|bvp_only|logreg|base,linear1022,subject_z,bvp_only,logreg,base,train_loso,52,0.788109756097561,0.8116531165311653,0.788109756097561,0.717479674796748,0.717479674796748
linear1022|subject_robust|bvp_only|xgb|base,linear1022|subject_robust|bvp_only|xgb|base,linear1022,subject_robust,bvp_only,xgb,base,train_loso,52,0.788109756097561,0.8116531165311653,0.788109756097561,0.717479674796748,0.717479674796748
truncate1022|subject_robust|bvp_only|xgb|base,truncate1022|subject_robust|bvp_only|xgb|base,truncate1022,subject_robust,bvp_only,xgb,base,train_loso,52,0.7850609756097561,0.8089430894308943,0.7850609756097561,0.7134146341463414,0.7134146341463414
truncate1022|subject_z|bvp_only|rf|base,truncate1022|subject_z|bvp_only|rf|base,truncate1022,subject_z,bvp_only,rf,base,train_loso,52,0.7835365853658537,0.8075880758807588,0.7835365853658537,0.7113821138211383,0.7113821138211383
truncate1022|subject_robust|bvp_only|rf|base,truncate1022|subject_robust|bvp_only|rf|base,truncate1022,subject_robust,bvp_only,rf,base,train_loso,52,0.7820121951219512,0.8062330623306233,0.7820121951219512,0.709349593495935,0.709349593495935
poly1022|subject_z|bvp_only|xgb|base,poly1022|subject_z|bvp_only|xgb|base,poly1022,subject_z,bvp_only,xgb,base,train_loso,52,0.7820121951219512,0.8062330623306233,0.7820121951219512,0.709349593495935,0.709349593495935
poly1022|subject_robust|bvp_only|xgb|base,poly1022|subject_robust|bvp_only|xgb|base,poly1022,subject_robust,bvp_only,xgb,base,train_loso,52,0.7789634146341464,0.8035230352303523,0.7789634146341464,0.7052845528455285,0.7052845528455285
linear1022|subject_z|bvp_only|rf|base,linear1022|subject_z|bvp_only|rf|base,linear1022,subject_z,bvp_only,rf,base,train_loso,52,0.7774390243902439,0.8021680216802168,0.7774390243902439,0.7032520325203252,0.7032520325203252
poly1022|subject_z|bvp_only|rf|base,poly1022|subject_z|bvp_only|rf|base,poly1022,subject_z,bvp_only,rf,base,train_loso,52,0.7774390243902439,0.8021680216802168,0.7774390243902439,0.7032520325203252,0.7032520325203252
truncate1022|subject_z|bvp_only|xgb|base,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb,base,train_loso,52,0.774390243902439,0.7994579945799458,0.774390243902439,0.6991869918699187,0.6991869918699187
linear1022|subject_z|bvp_only|xgb|base,linear1022|subject_z|bvp_only|xgb|base,linear1022,subject_z,bvp_only,xgb,base,train_loso,52,0.771341463414634,0.7967479674796748,0.771341463414634,0.6951219512195121,0.6951219512195121
linear1022|subject_robust|bvp_only|rf|base,linear1022|subject_robust|bvp_only|rf|base,linear1022,subject_robust,bvp_only,rf,base,train_loso,52,0.7698170731707317,0.7953929539295393,0.7698170731707317,0.693089430894309,0.693089430894309
poly1022|subject_robust|bvp_only|rf|base,poly1022|subject_robust|bvp_only|rf|base,poly1022,subject_robust,bvp_only,rf,base,train_loso,52,0.7698170731707317,0.7953929539295393,0.7698170731707317,0.693089430894309,0.693089430894309
poly1022|subject_robust|eda_only|rf|base,poly1022|subject_robust|eda_only|rf|base,poly1022,subject_robust,eda_only,rf,base,train_loso,47,0.7271341463414634,0.7574525745257452,0.7271341463414634,0.6361788617886179,0.6361788617886179
truncate1022|subject_z|eda_only|xgb|base,truncate1022|subject_z|eda_only|xgb|base,truncate1022,subject_z,eda_only,xgb,base,train_loso,46,0.725609756097561,0.7560975609756098,0.725609756097561,0.6341463414634146,0.6341463414634146
linear1022|subject_z|eda_only|xgb|base,linear1022|subject_z|eda_only|xgb|base,linear1022,subject_z,eda_only,xgb,base,train_loso,47,0.725609756097561,0.7560975609756098,0.725609756097561,0.6341463414634146,0.6341463414634146
poly1022|subject_z|eda_only|rf|base,poly1022|subject_z|eda_only|rf|base,poly1022,subject_z,eda_only,rf,base,train_loso,47,0.725609756097561,0.7560975609756098,0.725609756097561,0.6341463414634146,0.6341463414634146
truncate1022|subject_z|eda_only|rf|base,truncate1022|subject_z|eda_only|rf|base,truncate1022,subject_z,eda_only,rf,base,train_loso,46,0.7240853658536586,0.7547425474254743,0.7240853658536586,0.6321138211382114,0.6321138211382114
linear1022|subject_z|eda_only|rf|base,linear1022|subject_z|eda_only|rf|base,linear1022,subject_z,eda_only,rf,base,train_loso,47,0.7240853658536586,0.7547425474254743,0.7240853658536586,0.6321138211382114,0.6321138211382114
truncate1022|subject_robust|eda_only|rf|base,truncate1022|subject_robust|eda_only|rf|base,truncate1022,subject_robust,eda_only,rf,base,train_loso,46,0.7210365853658536,0.7520325203252033,0.7210365853658536,0.6280487804878049,0.6280487804878049
poly1022|subject_z|eda_only|xgb|base,poly1022|subject_z|eda_only|xgb|base,poly1022,subject_z,eda_only,xgb,base,train_loso,47,0.7210365853658536,0.7520325203252033,0.7210365853658536,0.6280487804878049,0.6280487804878049
linear1022|subject_robust|eda_only|rf|base,linear1022|subject_robust|eda_only|rf|base,linear1022,subject_robust,eda_only,rf,base,train_loso,47,0.7195121951219512,0.7506775067750677,0.7195121951219512,0.6260162601626016,0.6260162601626016
truncate1022|subject_z|eda_only|logreg|base,truncate1022|subject_z|eda_only|logreg|base,truncate1022,subject_z,eda_only,logreg,base,train_loso,46,0.711890243902439,0.7439024390243902,0.711890243902439,0.6158536585365854,0.6158536585365854
poly1022|subject_robust|eda_only|xgb|base,poly1022|subject_robust|eda_only|xgb|base,poly1022,subject_robust,eda_only,xgb,base,train_loso,47,0.7103658536585366,0.7425474254742548,0.7103658536585366,0.6138211382113821,0.6138211382113821
linear1022|subject_z|eda_only|logreg|base,linear1022|subject_z|eda_only|logreg|base,linear1022,subject_z,eda_only,logreg,base,train_loso,47,0.7088414634146342,0.7411924119241192,0.7088414634146342,0.6117886178861789,0.6117886178861789
truncate1022|subject_robust|eda_only|logreg|base,truncate1022|subject_robust|eda_only|logreg|base,truncate1022,subject_robust,eda_only,logreg,base,train_loso,46,0.7057926829268293,0.7384823848238482,0.7057926829268293,0.6077235772357723,0.6077235772357723
linear1022|subject_robust|eda_only|xgb|base,linear1022|subject_robust|eda_only|xgb|base,linear1022,subject_robust,eda_only,xgb,base,train_loso,47,0.7042682926829269,0.7371273712737128,0.7042682926829269,0.6056910569105691,0.6056910569105691
linear1022|subject_robust|eda_only|logreg|base,linear1022|subject_robust|eda_only|logreg|base,linear1022,subject_robust,eda_only,logreg,base,train_loso,47,0.7027439024390244,0.7357723577235772,0.7027439024390244,0.6036585365853658,0.6036585365853658
poly1022|subject_robust|eda_only|logreg|base,poly1022|subject_robust|eda_only|logreg|base,poly1022,subject_robust,eda_only,logreg,base,train_loso,47,0.6996951219512195,0.7330623306233063,0.6996951219512195,0.5995934959349594,0.5995934959349594
truncate1022|subject_robust|eda_only|xgb|base,truncate1022|subject_robust|eda_only|xgb|base,truncate1022,subject_robust,eda_only,xgb,base,train_loso,46,0.6966463414634146,0.7303523035230353,0.6966463414634146,0.5955284552845529,0.5955284552845529
poly1022|subject_z|eda_only|logreg|base,poly1022|subject_z|eda_only|logreg|base,poly1022,subject_z,eda_only,logreg,base,train_loso,47,0.6920731707317074,0.7262872628726287,0.6920731707317074,0.5894308943089431,0.5894308943089431
truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,base,validation,98,0.828125,0.8472222222222222,0.828125,0.7708333333333334,0.7708333333333334
poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,base,validation,99,0.828125,0.8472222222222222,0.828125,0.7708333333333334,0.7708333333333334
truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,base,validation,98,0.8229166666666666,0.8425925925925926,0.8229166666666666,0.7638888888888888,0.7638888888888888
linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,base,validation,99,0.8229166666666666,0.8425925925925926,0.8229166666666666,0.7638888888888888,0.7638888888888888
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,base,validation,70,0.8177083333333333,0.8379629629629629,0.8177083333333333,0.7569444444444444,0.7569444444444444
linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,base,validation,70,0.8177083333333333,0.8379629629629629,0.8177083333333333,0.7569444444444444,0.7569444444444444
poly1022|subject_robust|bvp_eda_resp_small|xgb|base,poly1022|subject_robust|bvp_eda_resp_small|xgb|base,poly1022,subject_robust,bvp_eda_resp_small,xgb,base,validation,70,0.8177083333333333,0.8379629629629629,0.8177083333333333,0.7569444444444444,0.7569444444444444
poly1022|subject_z|bvp_eda_resp_small|rf|base,poly1022|subject_z|bvp_eda_resp_small|rf|base,poly1022,subject_z,bvp_eda_resp_small,rf,base,validation,70,0.8125,0.8333333333333334,0.8125,0.75,0.75
truncate1022|subject_z|bvp_eda_resp_small|rf|base,truncate1022|subject_z|bvp_eda_resp_small|rf|base,truncate1022,subject_z,bvp_eda_resp_small,rf,base,validation,70,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
truncate1022|subject_z|bvp_eda_resp_small|logreg|base,truncate1022|subject_z|bvp_eda_resp_small|logreg|base,truncate1022,subject_z,bvp_eda_resp_small,logreg,base,validation,70,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
linear1022|subject_z|bvp_eda_core|xgb|base,linear1022|subject_z|bvp_eda_core|xgb|base,linear1022,subject_z,bvp_eda_core,xgb,base,validation,99,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
linear1022|subject_z|bvp_eda_resp_small|logreg|base,linear1022|subject_z|bvp_eda_resp_small|logreg|base,linear1022,subject_z,bvp_eda_resp_small,logreg,base,validation,70,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
poly1022|subject_z|bvp_eda_core|xgb|base,poly1022|subject_z|bvp_eda_core|xgb|base,poly1022,subject_z,bvp_eda_core,xgb,base,validation,99,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
poly1022|subject_z|bvp_eda_resp_small|xgb|base,poly1022|subject_z|bvp_eda_resp_small|xgb|base,poly1022,subject_z,bvp_eda_resp_small,xgb,base,validation,70,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
truncate1022|subject_z|bvp_eda_resp_small|xgb|base,truncate1022|subject_z|bvp_eda_resp_small|xgb|base,truncate1022,subject_z,bvp_eda_resp_small,xgb,base,validation,70,0.8020833333333334,0.8240740740740741,0.8020833333333334,0.7361111111111112,0.7361111111111112
