variant,p_same_subject_at_10,p_same_class_at_10,mean_within_class,mean_between_class,ratio_within_between_class,mean_within_subject,mean_between_subject,ratio_within_between_subject
raw,0.2092140921409214,0.3461382113821138,2214605.10592657,2219262.6779321376,0.9979012975562193,1036871.7081484684,2246413.244659704,0.46156766152148376
global_z,0.7583333333333333,0.40115176151761517,19.204644673782738,19.37192635682933,0.9913647367863537,12.411675696568892,19.484060708727416,0.6370168868858729
subject_z,0.0836720867208672,0.4586043360433604,19.304437826006673,20.112274817355974,0.9598336340028442,20.039247326511614,19.838599816958087,1.0101139955140388
