config_id,resample_tag,stage1_id,stage2_id,decoder_id,split,macro_f1_mean,macro_f1_std,accuracy_mean,balanced_accuracy_mean,n_subjects
poly1022|xgb_subject_robust|anchor_z_robust|joint_weighted,poly1022,xgb_subject_robust,anchor_z_robust,joint_weighted,train_loso,0.5711382113821137,0.11129304211190985,0.5711382113821137,0.5711382113821137,41
poly1022|xgb_subject_z|resp_all_robust|joint_weighted,poly1022,xgb_subject_z,resp_all_robust,joint_weighted,train_loso,0.5704607046070461,0.11078033419811782,0.5704607046070461,0.5704607046070461,41
truncate1022|logreg_subject_z|anchor_center_robust|split_topk,truncate1022,logreg_subject_z,anchor_center_robust,split_topk,train_loso,0.5697831978319784,0.10742531701289358,0.5697831978319784,0.5697831978319784,41
truncate1022|logreg_subject_z|anchor_z_robust|split_topk,truncate1022,logreg_subject_z,anchor_z_robust,split_topk,train_loso,0.5697831978319784,0.1046971586606675,0.5697831978319784,0.5697831978319784,41
truncate1022|xgb_subject_z|anchor_center_robust|split_topk,truncate1022,xgb_subject_z,anchor_center_robust,split_topk,train_loso,0.5697831978319783,0.11234075684675146,0.5697831978319783,0.5697831978319783,41
truncate1022|xgb_subject_robust|resp_all_robust|joint_weighted,truncate1022,xgb_subject_robust,resp_all_robust,joint_weighted,train_loso,0.5697831978319783,0.10597903924839121,0.5697831978319783,0.5697831978319783,41
poly1022|xgb_subject_z|resp_all_robust|split_topk,poly1022,xgb_subject_z,resp_all_robust,split_topk,train_loso,0.5697831978319782,0.12062113411247612,0.5697831978319782,0.5697831978319782,41
truncate1022|xgb_subject_z|anchor_center_robust|joint_weighted,truncate1022,xgb_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5691056910569107,0.1109585673735575,0.5691056910569107,0.5691056910569107,41
poly1022|xgb_subject_z|anchor_z_robust|joint_weighted,poly1022,xgb_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5691056910569107,0.11803463069778573,0.5691056910569107,0.5691056910569107,41
linear1022|xgb_subject_robust|anchor_z_robust|split_topk,linear1022,xgb_subject_robust,anchor_z_robust,split_topk,train_loso,0.5677506775067751,0.11769532958125138,0.5677506775067751,0.5677506775067751,41
truncate1022|xgb_subject_robust|resp_all_std|joint_weighted,truncate1022,xgb_subject_robust,resp_all_std,joint_weighted,train_loso,0.567750677506775,0.11802267197054364,0.567750677506775,0.567750677506775,41
truncate1022|xgb_subject_robust|anchor_center_robust|split_topk,truncate1022,xgb_subject_robust,anchor_center_robust,split_topk,train_loso,0.567750677506775,0.10901650339580146,0.567750677506775,0.567750677506775,41
poly1022|logreg_subject_z|anchor_center_robust|joint_weighted,poly1022,logreg_subject_z,anchor_center_robust,joint_weighted,train_loso,0.567750677506775,0.11687296253056773,0.567750677506775,0.567750677506775,41
linear1022|xgb_subject_z|resp_all_std|joint_weighted,linear1022,xgb_subject_z,resp_all_std,joint_weighted,train_loso,0.5670731707317074,0.11898743478053432,0.5670731707317074,0.5670731707317074,41
truncate1022|xgb_subject_z|anchor_z_robust|split_topk,truncate1022,xgb_subject_z,anchor_z_robust,split_topk,train_loso,0.5670731707317073,0.11486297690210022,0.5670731707317073,0.5670731707317073,41
linear1022|xgb_subject_z|anchor_center_robust|joint_weighted,linear1022,xgb_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5670731707317073,0.11265860043927345,0.5670731707317073,0.5670731707317073,41
linear1022|logreg_subject_z|anchor_center_robust|joint_weighted,linear1022,logreg_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5670731707317073,0.11385087606747224,0.5670731707317073,0.5670731707317073,41
truncate1022|xgb_subject_z|resp_all_std|joint_weighted,truncate1022,xgb_subject_z,resp_all_std,joint_weighted,train_loso,0.5663956639566397,0.11568336427875944,0.5663956639566395,0.5663956639566397,41
truncate1022|logreg_subject_z|anchor_center_robust|joint_weighted,truncate1022,logreg_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5663956639566395,0.11298387858555249,0.5663956639566395,0.5663956639566395,41
truncate1022|xgb_subject_robust|anchor_z_robust|joint_weighted,truncate1022,xgb_subject_robust,anchor_z_robust,joint_weighted,train_loso,0.5657181571815718,0.12603829541879197,0.5657181571815718,0.5657181571815718,41
truncate1022|logreg_subject_z|resp_all_std|joint_weighted,truncate1022,logreg_subject_z,resp_all_std,joint_weighted,train_loso,0.5657181571815718,0.11649393588191559,0.5657181571815718,0.5657181571815718,41
poly1022|xgb_subject_z|resp_all_std|joint_weighted,poly1022,xgb_subject_z,resp_all_std,joint_weighted,train_loso,0.5657181571815718,0.11499397755986024,0.5657181571815718,0.5657181571815718,41
linear1022|logreg_subject_z|resp_all_robust|joint_weighted,linear1022,logreg_subject_z,resp_all_robust,joint_weighted,train_loso,0.565040650406504,0.10946872194380841,0.565040650406504,0.565040650406504,41
poly1022|xgb_subject_z|resp_all_std|split_topk,poly1022,xgb_subject_z,resp_all_std,split_topk,train_loso,0.565040650406504,0.11762335200062399,0.565040650406504,0.565040650406504,41
poly1022|logreg_subject_z|anchor_z_robust|joint_weighted,poly1022,logreg_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5630081300813009,0.12376307610237959,0.5630081300813009,0.5630081300813009,41
truncate1022|xgb_subject_z|resp_all_robust|joint_weighted,truncate1022,xgb_subject_z,resp_all_robust,joint_weighted,train_loso,0.5630081300813008,0.11686893680118533,0.5630081300813008,0.5630081300813008,41
truncate1022|xgb_subject_robust|resp_all_robust|split_topk,truncate1022,xgb_subject_robust,resp_all_robust,split_topk,train_loso,0.5630081300813008,0.11249560866667802,0.5630081300813008,0.5630081300813008,41
truncate1022|xgb_subject_robust|resp_all_std|split_topk,truncate1022,xgb_subject_robust,resp_all_std,split_topk,train_loso,0.5623306233062331,0.11381781112055624,0.5623306233062331,0.5623306233062331,41
linear1022|logreg_subject_z|anchor_center_robust|split_topk,linear1022,logreg_subject_z,anchor_center_robust,split_topk,train_loso,0.5623306233062331,0.10314882119277856,0.5623306233062331,0.5623306233062331,41
poly1022|logreg_subject_z|anchor_center_robust|split_topk,poly1022,logreg_subject_z,anchor_center_robust,split_topk,train_loso,0.5602981029810298,0.11684880607382883,0.5602981029810298,0.5602981029810298,41
linear1022|logreg_subject_z|anchor_z_robust|joint_weighted,linear1022,logreg_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5589430894308943,0.11062308133776262,0.5589430894308943,0.5589430894308943,41
linear1022|logreg_subject_z|resp_all_std|split_topk,linear1022,logreg_subject_z,resp_all_std,split_topk,train_loso,0.5582655826558267,0.10610327160700146,0.5582655826558267,0.5582655826558267,41
poly1022|logreg_subject_z|resp_all_robust|joint_weighted,poly1022,logreg_subject_z,resp_all_robust,joint_weighted,train_loso,0.5582655826558266,0.11749127857847758,0.5582655826558267,0.5582655826558266,41
truncate1022|xgb_subject_robust|anchor_z_robust|split_topk,truncate1022,xgb_subject_robust,anchor_z_robust,split_topk,train_loso,0.5582655826558265,0.11912179905937126,0.5582655826558265,0.5582655826558265,41
poly1022|logreg_subject_z|resp_all_std|joint_weighted,poly1022,logreg_subject_z,resp_all_std,joint_weighted,train_loso,0.5575880758807589,0.11709416450205196,0.5575880758807589,0.5575880758807589,41
linear1022|logreg_subject_z|resp_all_std|joint_weighted,linear1022,logreg_subject_z,resp_all_std,joint_weighted,train_loso,0.5575880758807588,0.10675311960602739,0.5575880758807589,0.5575880758807588,41
linear1022|logreg_subject_z|resp_all_robust|split_topk,linear1022,logreg_subject_z,resp_all_robust,split_topk,train_loso,0.5569105691056911,0.10775329395300906,0.5569105691056911,0.5569105691056911,41
truncate1022|logreg_subject_z|anchor_z_robust|joint_weighted,truncate1022,logreg_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5562330623306233,0.11067410674699711,0.5562330623306233,0.5562330623306233,41
