config_id,base_config_id,resample_tag,norm_id,feature_set,model_id,refine_id,split,n_features,macro_f1_mean,accuracy_mean,balanced_accuracy_mean,precision_nopain_mean,recall_nopain_mean
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_z_l05,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_z_l05,train_loso,98,0.8231707317073171,0.8428184281842819,0.8231707317073171,0.7642276422764228,0.7642276422764228
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_z_l05,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_z_l05,train_loso,98,0.8216463414634146,0.8414634146341463,0.8216463414634146,0.7621951219512195,0.7621951219512195
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_z_l05,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_z_l05,train_loso,99,0.8216463414634146,0.8414634146341463,0.8216463414634146,0.7621951219512195,0.7621951219512195
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_z_l05,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_z_l05,train_loso,99,0.8216463414634146,0.8414634146341463,0.8216463414634146,0.7621951219512195,0.7621951219512195
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_z_l05,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_z_l05,train_loso,99,0.8201219512195121,0.8401084010840109,0.8201219512195121,0.7601626016260162,0.7601626016260162
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_z_l05,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_z_l05,train_loso,99,0.8201219512195121,0.8401084010840109,0.8201219512195121,0.7601626016260162,0.7601626016260162
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,base,train_loso,98,0.8185975609756098,0.8387533875338753,0.8185975609756098,0.758130081300813,0.758130081300813
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,base,train_loso,99,0.8185975609756098,0.8387533875338753,0.8185975609756098,0.758130081300813,0.758130081300813
linear1022|subject_robust|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022|subject_robust|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022,subject_robust,bvp_eda_core,svm_rbf_c3_gscale,base,train_loso,99,0.8185975609756098,0.8387533875338753,0.8185975609756098,0.758130081300813,0.758130081300813
linear1022|subject_robust|bvp_eda_core|svm_rbf_c3_g001|base,linear1022|subject_robust|bvp_eda_core|svm_rbf_c3_g001|base,linear1022,subject_robust,bvp_eda_core,svm_rbf_c3_g001,base,train_loso,99,0.8185975609756098,0.8387533875338753,0.8185975609756098,0.758130081300813,0.758130081300813
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,base,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_robust|bvp_eda_core|svm_linear_c1|base,truncate1022|subject_robust|bvp_eda_core|svm_linear_c1|base,truncate1022,subject_robust,bvp_eda_core,svm_linear_c1,base,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,base,train_loso,99,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,base,train_loso,99,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,base,train_loso,99,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_center_l05,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_center_l05,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_center_l05,truncate1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_center_l05,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_center_l05,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_center_l05,train_loso,99,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_z|bvp_eda_core|svm_linear_c3|base,truncate1022|subject_z|bvp_eda_core|svm_linear_c3|base,truncate1022,subject_z,bvp_eda_core,svm_linear_c3,base,train_loso,98,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
linear1022|subject_z|bvp_eda_core|svm_linear_c03|base,linear1022|subject_z|bvp_eda_core|svm_linear_c03|base,linear1022,subject_z,bvp_eda_core,svm_linear_c03,base,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
linear1022|subject_z|bvp_eda_core|svm_linear_c1|base,linear1022|subject_z|bvp_eda_core|svm_linear_c1|base,linear1022,subject_z,bvp_eda_core,svm_linear_c1,base,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_center_l05,linear1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_center_l05,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base|anchor_center_l05,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_gscale|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_gscale,anchor_center_l05,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base|anchor_center_l05,poly1022|subject_z|bvp_eda_core|svm_rbf_c3_g001|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c3_g001,anchor_center_l05,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
truncate1022|subject_z|bvp_eda_core|svm_linear_c03|base,truncate1022|subject_z|bvp_eda_core|svm_linear_c03|base,truncate1022,subject_z,bvp_eda_core,svm_linear_c03,base,train_loso,98,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
linear1022|subject_robust|bvp_eda_core|svm_linear_c1|base,linear1022|subject_robust|bvp_eda_core|svm_linear_c1|base,linear1022,subject_robust,bvp_eda_core,svm_linear_c1,base,train_loso,99,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
truncate1022|subject_z|bvp_eda_core|svm_linear_c1|base,truncate1022|subject_z|bvp_eda_core|svm_linear_c1|base,truncate1022,subject_z,bvp_eda_core,svm_linear_c1,base,train_loso,98,0.8125,0.8333333333333334,0.8125,0.75,0.75
truncate1022|subject_robust|bvp_eda_core|svm_linear_c3|base,truncate1022|subject_robust|bvp_eda_core|svm_linear_c3|base,truncate1022,subject_robust,bvp_eda_core,svm_linear_c3,base,train_loso,98,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
truncate1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,truncate1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,truncate1022,subject_robust,bvp_eda_core,svm_rbf_c1_gscale,base,train_loso,98,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
truncate1022|subject_robust|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022|subject_robust|bvp_eda_core|svm_rbf_c3_g001|base,truncate1022,subject_robust,bvp_eda_core,svm_rbf_c3_g001,base,train_loso,98,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
linear1022|subject_z|bvp_eda_core|svm_linear_c3|base,linear1022|subject_z|bvp_eda_core|svm_linear_c3|base,linear1022,subject_z,bvp_eda_core,svm_linear_c3,base,train_loso,99,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
linear1022|subject_robust|bvp_eda_core|svm_linear_c3|base,linear1022|subject_robust|bvp_eda_core|svm_linear_c3|base,linear1022,subject_robust,bvp_eda_core,svm_linear_c3,base,train_loso,99,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
poly1022|subject_robust|bvp_eda_core|svm_linear_c3|base,poly1022|subject_robust|bvp_eda_core|svm_linear_c3|base,poly1022,subject_robust,bvp_eda_core,svm_linear_c3,base,train_loso,99,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
truncate1022|subject_robust|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022|subject_robust|bvp_eda_core|svm_rbf_c3_gscale|base,truncate1022,subject_robust,bvp_eda_core,svm_rbf_c3_gscale,base,train_loso,98,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
linear1022|subject_robust|bvp_eda_core|svm_linear_c03|base,linear1022|subject_robust|bvp_eda_core|svm_linear_c03|base,linear1022,subject_robust,bvp_eda_core,svm_linear_c03,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
linear1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,linear1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,linear1022,subject_robust,bvp_eda_core,svm_rbf_c1_gscale,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
poly1022|subject_z|bvp_eda_core|svm_linear_c1|base,poly1022|subject_z|bvp_eda_core|svm_linear_c1|base,poly1022,subject_z,bvp_eda_core,svm_linear_c1,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
poly1022|subject_robust|bvp_eda_core|svm_linear_c03|base,poly1022|subject_robust|bvp_eda_core|svm_linear_c03|base,poly1022,subject_robust,bvp_eda_core,svm_linear_c03,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
poly1022|subject_robust|bvp_eda_core|svm_linear_c1|base,poly1022|subject_robust|bvp_eda_core|svm_linear_c1|base,poly1022,subject_robust,bvp_eda_core,svm_linear_c1,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
poly1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,poly1022|subject_robust|bvp_eda_core|svm_rbf_c1_gscale|base,poly1022,subject_robust,bvp_eda_core,svm_rbf_c1_gscale,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
linear1022|subject_z|bvp_eda_core|svm_rbf_c1_gscale|base,linear1022|subject_z|bvp_eda_core|svm_rbf_c1_gscale|base,linear1022,subject_z,bvp_eda_core,svm_rbf_c1_gscale,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
poly1022|subject_z|bvp_eda_core|svm_linear_c3|base,poly1022|subject_z|bvp_eda_core|svm_linear_c3|base,poly1022,subject_z,bvp_eda_core,svm_linear_c3,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
poly1022|subject_z|bvp_eda_core|svm_rbf_c1_gscale|base,poly1022|subject_z|bvp_eda_core|svm_rbf_c1_gscale|base,poly1022,subject_z,bvp_eda_core,svm_rbf_c1_gscale,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
