k,loso_macro_f1,loso_acc,loso_balanced_acc,val_macro_f1,val_acc,val_balanced_acc
3,0.5842770329526169,0.584349593495935,0.584349593495935,0.4686923494302767,0.46875,0.46875
5,0.5741830338746208,0.5741869918699187,0.5741869918699187,0.46174715138361366,0.4618055555555556,0.4618055555555556
10,0.5823062884786792,0.5823170731707317,0.5823170731707317,0.47914154810706533,0.4791666666666667,0.47916666666666663
