clustering_scheme,cluster_id,n_subjects,n_segments,available,macro_f1,macro_f1_std,acc,balanced_acc,n_folds
agglo_k2,0,23,552,True,0.5437261394350241,0.13006873218066675,0.5471014492753623,0.5471014492753623,23.0
agglo_k2,1,18,432,True,0.5001970245401162,0.08887228153224362,0.5046296296296297,0.5046296296296297,18.0
kmeans_k2,0,21,504,True,0.5251994834396492,0.12360183589813008,0.5297619047619048,0.5297619047619048,21.0
kmeans_k2,1,20,480,True,0.55134909856649,0.07037732979873075,0.5541666666666666,0.5541666666666666,20.0
kmeans_k3,0,13,312,True,0.5260095435346271,0.07223880261719877,0.532051282051282,0.532051282051282,13.0
kmeans_k3,1,22,528,True,0.5224022193587412,0.09742860422377737,0.5265151515151515,0.5265151515151515,22.0
kmeans_k3,2,6,144,True,0.5447700367265585,0.09812480270155047,0.5486111111111113,0.5486111111111112,6.0
kmeans_k4,0,1,0,False,,,,,
kmeans_k4,1,19,456,True,0.5008893663967651,0.1347873600165702,0.5087719298245613,0.5087719298245614,19.0
kmeans_k4,2,19,456,True,0.5481782214734161,0.0910403488591665,0.5504385964912281,0.5504385964912281,19.0
kmeans_k4,3,2,0,False,,,,,
kmeans_k5,0,19,456,True,0.5325488301341232,0.09413389173803904,0.537280701754386,0.537280701754386,19.0
kmeans_k5,1,13,312,True,0.5260095435346271,0.07223880261719877,0.532051282051282,0.532051282051282,13.0
kmeans_k5,2,1,0,False,,,,,
kmeans_k5,3,3,0,False,,,,,
kmeans_k5,4,5,120,True,0.5467174564565869,0.059890948965689327,0.55,0.55,5.0
agglo_k3,0,18,432,True,0.5001970245401162,0.08887228153224362,0.5046296296296297,0.5046296296296297,18.0
agglo_k3,1,19,456,True,0.518417583772275,0.11298872924397124,0.5219298245614036,0.5219298245614036,19.0
agglo_k3,2,4,0,False,,,,,
agglo_k4,0,19,456,True,0.518417583772275,0.11298872924397124,0.5219298245614036,0.5219298245614036,19.0
agglo_k4,1,17,408,True,0.4912925009188488,0.09186161835617715,0.4975490196078431,0.4975490196078431,17.0
agglo_k4,2,4,0,False,,,,,
agglo_k4,3,1,0,False,,,,,
agglo_k5,0,17,408,True,0.4912925009188488,0.09186161835617715,0.4975490196078431,0.4975490196078431,17.0
agglo_k5,1,5,120,True,0.40946866338170684,0.08143303126977021,0.4166666666666667,0.4166666666666667,5.0
agglo_k5,2,4,0,False,,,,,
agglo_k5,3,1,0,False,,,,,
agglo_k5,4,14,336,True,0.5413323391584262,0.12480405273460816,0.5446428571428571,0.5446428571428571,14.0
