feature,F,p,n
Eda_total_power,0.008046988150310264,0.991985837431705,123
Eda_samp_entropy,0.0036353138494202453,0.9963713956293273,123
Eda_peak_power,0.0029781761437054394,0.9970263279141792,123
Resp_hjorth_activity,0.0027276086324714696,0.9972761697400843,123
SpO2_petrosian_fd,0.0011653441705628406,0.9988353458828357,123
SpO2_perm_entropy,0.00084507034129465,0.9991552925762,123
Resp_energy,0.0008100664757847186,0.9991902670034059,123
Resp_hjorth_mobility,0.0002491214987603595,0.9997509100464727,123
Bvp_bp_hf,,,123
Bvp_bp_hf_rel,,,123
Bvp_bp_lf,,,123
Bvp_bp_lf_rel,,,123
Bvp_bp_vlf,,,123
Bvp_bp_vlf_rel,,,123
Bvp_lf_hf_ratio,,,0
Eda_bp_phasic,,,123
Eda_bp_phasic_rel,,,123
Eda_bp_tonic,,,123
Eda_bp_tonic_rel,,,123
Eda_spec_edge_95,,,123
Resp_bp_breathing,,,123
Resp_bp_breathing_rel,,,123
Resp_dom_freq_breathing,,,123
SpO2_bp_low,,,123
SpO2_bp_low_rel,,,120
