component,explained_variance_ratio
1,0.17101673332871792
2,0.09871262564148879
3,0.08272967322918008
4,0.0781015925704437
5,0.07025849337157118
6,0.0435881305776948
7,0.03646847070213683
8,0.027941742450469657
9,0.024394343294319804
10,0.02300218749972611
11,0.019483754349611256
12,0.017595491575601887
13,0.016260737651063045
14,0.014642118088743149
15,0.011761635556861678
16,0.010834050533791382
17,0.010283978181621871
18,0.009558058907461007
19,0.009343752046400134
20,0.009163254099785991
