iter,train_logloss,val_logloss,config_id,resample_tag,norm_id,feature_set,model_id
44,0.28790729458577585,0.4267461310201152,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
45,0.2859965198696023,0.4259587103388859,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
46,0.2840828270484822,0.4253621280098472,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
47,0.2818832081593674,0.4253701922673456,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
48,0.2801120794658375,0.4261449628932126,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
49,0.2777903896673181,0.4266929509014719,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
50,0.276272113556118,0.42687778837582163,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
51,0.27410069597900155,0.42666243668214454,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
52,0.2727381003614222,0.4260982687162511,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
53,0.2702492881152365,0.4262824804108176,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
54,0.2681445695931814,0.42638863216550954,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
55,0.2671293965212718,0.42597265747651736,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
56,0.2643657717740209,0.4266943211141215,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
57,0.2624624385031541,0.4272864015462498,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
58,0.2611027523978717,0.42626247016488816,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
59,0.25930178554875016,0.4262083551018602,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
60,0.2574533446903939,0.42694125458149723,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
61,0.25657125889275695,0.42673732871965814,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
62,0.25503477797184776,0.42706582480524147,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
63,0.25324793958400443,0.428003861275674,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
64,0.252192695914114,0.4271275881005244,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
65,0.2511209322248149,0.42672316937414173,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
66,0.24948077829463816,0.4262157854736196,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
67,0.2472388363389051,0.4262202570076894,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
68,0.24637190642107915,0.4262690008747288,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
69,0.24470584750172952,0.42639902630536297,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
70,0.241691045328687,0.42574618183749,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
71,0.2395714516473838,0.42565449895509694,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
72,0.2375970320633504,0.4251443485242177,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
73,0.23604931949377866,0.4254878472765321,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
74,0.23533434053721428,0.42523579056055666,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
75,0.23442007344958138,0.4250091670740706,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
76,0.23306691940863766,0.42586058168025276,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
