iter,train_logloss,val_logloss,resample_tag,stage1_id
1,0.5972568528035146,0.606126697871972,truncate1022,xgb_subject_z
2,0.5645276397507042,0.5799570193997136,truncate1022,xgb_subject_z
3,0.5352989699499717,0.557217019368653,truncate1022,xgb_subject_z
4,0.5093694116849563,0.5391856053223213,truncate1022,xgb_subject_z
5,0.486534199195341,0.5238962708110059,truncate1022,xgb_subject_z
6,0.4655652718976907,0.5096546170060281,truncate1022,xgb_subject_z
7,0.44739472738853314,0.4969328048604506,truncate1022,xgb_subject_z
8,0.43057063795363676,0.48856797338359886,truncate1022,xgb_subject_z
9,0.41486706154617836,0.47803257854172476,truncate1022,xgb_subject_z
10,0.4001783698211679,0.4676978372865253,truncate1022,xgb_subject_z
11,0.3874539459947002,0.46008995944565095,truncate1022,xgb_subject_z
12,0.3758436063642747,0.4530351166785867,truncate1022,xgb_subject_z
13,0.3641584596235739,0.44629993851951977,truncate1022,xgb_subject_z
14,0.3539304160853712,0.43971926408509415,truncate1022,xgb_subject_z
15,0.3443057921015958,0.43521676643717067,truncate1022,xgb_subject_z
16,0.3348768932093692,0.43023717367193764,truncate1022,xgb_subject_z
17,0.3261142452739603,0.42661117301839924,truncate1022,xgb_subject_z
18,0.31812858931356813,0.4237058092840016,truncate1022,xgb_subject_z
19,0.31043460695098246,0.4206317092671438,truncate1022,xgb_subject_z
20,0.3033787655293295,0.4167875564760632,truncate1022,xgb_subject_z
21,0.2966639746616526,0.41322519849226985,truncate1022,xgb_subject_z
22,0.28995015269251373,0.4121194651902274,truncate1022,xgb_subject_z
23,0.2842445957214448,0.409825356953122,truncate1022,xgb_subject_z
24,0.27846579874050487,0.40763229259324296,truncate1022,xgb_subject_z
25,0.27263365472921836,0.40570150851272047,truncate1022,xgb_subject_z
26,0.26698998407761093,0.40394342090520596,truncate1022,xgb_subject_z
27,0.26163426295508374,0.40285067637968397,truncate1022,xgb_subject_z
28,0.2568254548006345,0.40101301732162636,truncate1022,xgb_subject_z
29,0.25200821885834057,0.3999399201668523,truncate1022,xgb_subject_z
30,0.24764660852872905,0.3987503355644919,truncate1022,xgb_subject_z
31,0.24310544440850898,0.3978296230133209,truncate1022,xgb_subject_z
32,0.23880258200028887,0.39562755755010853,truncate1022,xgb_subject_z
33,0.2344041781722086,0.3948035804744534,truncate1022,xgb_subject_z
34,0.23020626244899944,0.39435239054297133,truncate1022,xgb_subject_z
35,0.22581781300673195,0.3939156361027724,truncate1022,xgb_subject_z
36,0.22126619089495764,0.3926030216669595,truncate1022,xgb_subject_z
37,0.21762467376751507,0.3930785881864183,truncate1022,xgb_subject_z
38,0.21398848487786082,0.3922912192367086,truncate1022,xgb_subject_z
39,0.2103248855545814,0.39138951738520217,truncate1022,xgb_subject_z
40,0.20648488896800493,0.3897526118628405,truncate1022,xgb_subject_z
41,0.20335355853576081,0.3905217872363412,truncate1022,xgb_subject_z
42,0.20115155204348165,0.3910713595320919,truncate1022,xgb_subject_z
43,0.19783046924027042,0.39069257902533366,truncate1022,xgb_subject_z
44,0.19506758311132427,0.3906249225493176,truncate1022,xgb_subject_z
45,0.19325105972123663,0.39111712594792525,truncate1022,xgb_subject_z
46,0.19044728908400105,0.3918843103909037,truncate1022,xgb_subject_z
47,0.1872360059823639,0.39085532467881284,truncate1022,xgb_subject_z
48,0.1848643479186052,0.3914151740329409,truncate1022,xgb_subject_z
49,0.1817908009361516,0.39109307942325594,truncate1022,xgb_subject_z
50,0.17923036396571593,0.3904055887509862,truncate1022,xgb_subject_z
51,0.1773192631099676,0.39030676914154794,truncate1022,xgb_subject_z
52,0.17477088164523003,0.3904730074379283,truncate1022,xgb_subject_z
53,0.1725186465313118,0.39195649086980633,truncate1022,xgb_subject_z
54,0.1694760254273812,0.3928630862523008,truncate1022,xgb_subject_z
55,0.16683466998837526,0.39317838261033305,truncate1022,xgb_subject_z
56,0.16458829695442162,0.39286869542707725,truncate1022,xgb_subject_z
57,0.16207615721486207,0.39289738947128944,truncate1022,xgb_subject_z
58,0.159557955756627,0.3926401720813441,truncate1022,xgb_subject_z
59,0.1575816178487407,0.39282793655379294,truncate1022,xgb_subject_z
60,0.1560920668888312,0.39299048169912704,truncate1022,xgb_subject_z
61,0.15438154791317737,0.39458005456792844,truncate1022,xgb_subject_z
62,0.15264166631896128,0.3942214229868518,truncate1022,xgb_subject_z
63,0.15008273918962808,0.3948804779750019,truncate1022,xgb_subject_z
64,0.1480740473642289,0.3946350242972753,truncate1022,xgb_subject_z
65,0.14611837150513884,0.39520162498444766,truncate1022,xgb_subject_z
66,0.14486544139255444,0.3957314255584842,truncate1022,xgb_subject_z
67,0.1434578490131194,0.39542114778952153,truncate1022,xgb_subject_z
68,0.14132724623833115,0.39554744302208916,truncate1022,xgb_subject_z
69,0.1401665575608616,0.39491974922216116,truncate1022,xgb_subject_z
70,0.13896687940895042,0.3947851069398759,truncate1022,xgb_subject_z
71,0.13724703592883025,0.3944934910029621,truncate1022,xgb_subject_z
72,0.13548729469120088,0.3956830669528615,truncate1022,xgb_subject_z
73,0.13360128741740404,0.3971316109597898,truncate1022,xgb_subject_z
74,0.1320014165324439,0.3976986123026883,truncate1022,xgb_subject_z
75,0.1304044248343781,0.3983017033703315,truncate1022,xgb_subject_z
76,0.12816937532664596,0.3972163528168393,truncate1022,xgb_subject_z
77,0.1269108272546607,0.3986028631080882,truncate1022,xgb_subject_z
78,0.1254634758559129,0.39862009491318734,truncate1022,xgb_subject_z
79,0.12385898975634614,0.3994703763676592,truncate1022,xgb_subject_z
80,0.12293591938151278,0.3995599453784827,truncate1022,xgb_subject_z
81,0.12144696423238104,0.40137676094740593,truncate1022,xgb_subject_z
82,0.11973015968684678,0.401953135607915,truncate1022,xgb_subject_z
83,0.11833896273466302,0.4018009673233825,truncate1022,xgb_subject_z
84,0.1171832060435696,0.4015017253097742,truncate1022,xgb_subject_z
85,0.11612047047668507,0.4032540889985049,truncate1022,xgb_subject_z
86,0.11498130347657327,0.4030310795243605,truncate1022,xgb_subject_z
87,0.11319693821645783,0.40432877286123886,truncate1022,xgb_subject_z
88,0.11152433670917147,0.40549285426311177,truncate1022,xgb_subject_z
89,0.10961149191435901,0.40700255303602684,truncate1022,xgb_subject_z
90,0.10791693829762848,0.40763868066035985,truncate1022,xgb_subject_z
91,0.10613958600250409,0.4083878610528902,truncate1022,xgb_subject_z
92,0.10506408542641035,0.4088038055881582,truncate1022,xgb_subject_z
93,0.1044250508731857,0.4085438242985186,truncate1022,xgb_subject_z
94,0.10323385911098326,0.409482818541518,truncate1022,xgb_subject_z
95,0.10196549044956697,0.40919058033291045,truncate1022,xgb_subject_z
96,0.10025285728837977,0.40831905991513784,truncate1022,xgb_subject_z
97,0.09954859255980271,0.4085396670594087,truncate1022,xgb_subject_z
98,0.09808213339475245,0.4090988110129493,truncate1022,xgb_subject_z
99,0.09705704428956889,0.4105233483873976,truncate1022,xgb_subject_z
100,0.09607658021689612,0.4117799607265624,truncate1022,xgb_subject_z
101,0.09499843383287104,0.41293134352599736,truncate1022,xgb_subject_z
102,0.09420032698326987,0.4133340337602594,truncate1022,xgb_subject_z
103,0.09361421952729534,0.4133500848876321,truncate1022,xgb_subject_z
104,0.09266034076996728,0.413424320639967,truncate1022,xgb_subject_z
105,0.09204293802338917,0.4134343886654716,truncate1022,xgb_subject_z
106,0.09092637563452723,0.41378131802533363,truncate1022,xgb_subject_z
107,0.09018699283305263,0.41389838279778984,truncate1022,xgb_subject_z
108,0.08925004648434334,0.4137182972006957,truncate1022,xgb_subject_z
109,0.0886017518794116,0.4149944066569636,truncate1022,xgb_subject_z
110,0.08750884876924701,0.4162193084468729,truncate1022,xgb_subject_z
111,0.08636373522930253,0.41732466383971906,truncate1022,xgb_subject_z
112,0.08523231171428662,0.41679051766900727,truncate1022,xgb_subject_z
113,0.08440993944437591,0.41765404969838626,truncate1022,xgb_subject_z
114,0.08383068195380129,0.4182810093091878,truncate1022,xgb_subject_z
115,0.08303009778205028,0.4190513522159933,truncate1022,xgb_subject_z
116,0.0822844009042426,0.4196907131187833,truncate1022,xgb_subject_z
117,0.0811683572932881,0.42014667261294864,truncate1022,xgb_subject_z
118,0.08037932531892064,0.42086474478963753,truncate1022,xgb_subject_z
119,0.07937813598168401,0.4211755589279131,truncate1022,xgb_subject_z
120,0.07882385651200352,0.4221768995533542,truncate1022,xgb_subject_z
121,0.0776634648151861,0.4239168856239067,truncate1022,xgb_subject_z
122,0.07666808836707728,0.42424294161065956,truncate1022,xgb_subject_z
123,0.07566304620860781,0.4244358696825522,truncate1022,xgb_subject_z
124,0.07442090316383934,0.42457502458071555,truncate1022,xgb_subject_z
125,0.0732189046232715,0.4242760110257088,truncate1022,xgb_subject_z
126,0.07221660190369955,0.4241384417897886,truncate1022,xgb_subject_z
127,0.07151409176713502,0.4252415151533097,truncate1022,xgb_subject_z
128,0.07084718769090313,0.4259803035484866,truncate1022,xgb_subject_z
129,0.0698747218252954,0.4268351411791863,truncate1022,xgb_subject_z
130,0.06900614381173586,0.428211263390646,truncate1022,xgb_subject_z
131,0.06834774110678409,0.4276488867655172,truncate1022,xgb_subject_z
132,0.06772725888347154,0.42905149913443624,truncate1022,xgb_subject_z
133,0.06691333258664614,0.4281542918936423,truncate1022,xgb_subject_z
134,0.06591791668364168,0.4277651321348525,truncate1022,xgb_subject_z
135,0.06547711585928512,0.42762590874419265,truncate1022,xgb_subject_z
136,0.06484455622471257,0.4290589944139356,truncate1022,xgb_subject_z
137,0.06391440685953614,0.4296998244624572,truncate1022,xgb_subject_z
138,0.0632879441718935,0.430741697823881,truncate1022,xgb_subject_z
139,0.06251331331472727,0.43106947817310964,truncate1022,xgb_subject_z
140,0.06204878766481909,0.4310077831388399,truncate1022,xgb_subject_z
141,0.06151317999578178,0.4311681318729286,truncate1022,xgb_subject_z
142,0.06114565510297498,0.43239111362992033,truncate1022,xgb_subject_z
143,0.06041265146630241,0.4329015066357021,truncate1022,xgb_subject_z
144,0.05986265177686439,0.4339272874392379,truncate1022,xgb_subject_z
145,0.05912254685743855,0.4336464598923663,truncate1022,xgb_subject_z
146,0.05867765914165048,0.4334825789726353,truncate1022,xgb_subject_z
147,0.05789353988808674,0.43465984237971295,truncate1022,xgb_subject_z
148,0.0575534607093137,0.435379090960379,truncate1022,xgb_subject_z
149,0.05682135192492187,0.43656659321088764,truncate1022,xgb_subject_z
150,0.05630516895696554,0.43720948400240794,truncate1022,xgb_subject_z
151,0.05571752885376421,0.43685324039978257,truncate1022,xgb_subject_z
152,0.05495185744789363,0.43742491007287754,truncate1022,xgb_subject_z
153,0.05449069830269012,0.4380025176611795,truncate1022,xgb_subject_z
154,0.05378944719343403,0.43738217696766324,truncate1022,xgb_subject_z
155,0.05348807081988247,0.4379812039237381,truncate1022,xgb_subject_z
156,0.05302048484446733,0.43896254196139733,truncate1022,xgb_subject_z
157,0.05235274201197102,0.43922147788658483,truncate1022,xgb_subject_z
158,0.05180189256111651,0.44017906413878166,truncate1022,xgb_subject_z
159,0.05111866425723626,0.4401373342492055,truncate1022,xgb_subject_z
160,0.05068163811624319,0.44145148699357784,truncate1022,xgb_subject_z
161,0.05003815985369612,0.4422693628921816,truncate1022,xgb_subject_z
162,0.04965345079676254,0.44303813618979704,truncate1022,xgb_subject_z
163,0.04920607699561397,0.4436221590434191,truncate1022,xgb_subject_z
164,0.04878104566295945,0.4451300492928567,truncate1022,xgb_subject_z
165,0.04834887911153889,0.44519781968308425,truncate1022,xgb_subject_z
166,0.04792892341555644,0.4461315877428273,truncate1022,xgb_subject_z
167,0.04748843634760747,0.4460722072530593,truncate1022,xgb_subject_z
168,0.047014125193488,0.4469178821869988,truncate1022,xgb_subject_z
169,0.04649797326589078,0.44753430420247176,truncate1022,xgb_subject_z
170,0.04608416721531755,0.4476037219952155,truncate1022,xgb_subject_z
171,0.0457553403290903,0.44822484754486475,truncate1022,xgb_subject_z
172,0.04537567998972782,0.44828549658638994,truncate1022,xgb_subject_z
173,0.04495766999995491,0.4487840680515176,truncate1022,xgb_subject_z
174,0.04437231640670795,0.45021779283612245,truncate1022,xgb_subject_z
175,0.04397948337708197,0.45037142640433525,truncate1022,xgb_subject_z
176,0.04349044871505957,0.4504631634407377,truncate1022,xgb_subject_z
177,0.04313876369490407,0.4514282038542458,truncate1022,xgb_subject_z
178,0.04267852977494382,0.45159270188769035,truncate1022,xgb_subject_z
179,0.04226372526963081,0.452260967498525,truncate1022,xgb_subject_z
180,0.04195761207147198,0.45279574828331265,truncate1022,xgb_subject_z
181,0.04150010051487052,0.45322651079813014,truncate1022,xgb_subject_z
182,0.04102115441327415,0.45415347988960597,truncate1022,xgb_subject_z
183,0.04062693748275661,0.45501229117757314,truncate1022,xgb_subject_z
184,0.04028313696487516,0.45560292060832175,truncate1022,xgb_subject_z
185,0.03995345933963059,0.45630118777262396,truncate1022,xgb_subject_z
186,0.03964590859668977,0.45760740861051424,truncate1022,xgb_subject_z
187,0.03938179210900131,0.458065073106169,truncate1022,xgb_subject_z
188,0.03889807713729165,0.4591600010500972,truncate1022,xgb_subject_z
189,0.03851743422815272,0.45942941655846004,truncate1022,xgb_subject_z
190,0.03811785881393756,0.46014804520301467,truncate1022,xgb_subject_z
191,0.03774475967430296,0.46114531296471895,truncate1022,xgb_subject_z
192,0.0374607545621156,0.4617910243320727,truncate1022,xgb_subject_z
193,0.03703590588778269,0.46127262497018956,truncate1022,xgb_subject_z
194,0.03654584450787864,0.4623504265307727,truncate1022,xgb_subject_z
195,0.03613835390120303,0.4628797834175876,truncate1022,xgb_subject_z
196,0.03580548758031725,0.4638358590015775,truncate1022,xgb_subject_z
197,0.03554367281621123,0.46511689787439536,truncate1022,xgb_subject_z
198,0.03511473594444199,0.465770759520907,truncate1022,xgb_subject_z
199,0.03482601646091736,0.4663365047141202,truncate1022,xgb_subject_z
200,0.03468050085840384,0.4673815517099784,truncate1022,xgb_subject_z
1,0.597169536420808,0.6058465080956618,truncate1022,xgb_subject_robust
2,0.564330564665439,0.5785280451592472,truncate1022,xgb_subject_robust
3,0.534608872925363,0.5535610827306906,truncate1022,xgb_subject_robust
4,0.5083032813337114,0.5313117134350317,truncate1022,xgb_subject_robust
5,0.48648205989098486,0.5176213728608908,truncate1022,xgb_subject_robust
6,0.46528543897356767,0.5012258945239915,truncate1022,xgb_subject_robust
7,0.4465201840430579,0.48899129871279,truncate1022,xgb_subject_robust
8,0.42963208088545296,0.4778340537170017,truncate1022,xgb_subject_robust
9,0.41415137973258165,0.4688836193678004,truncate1022,xgb_subject_robust
10,0.3998339779190416,0.4592374922983624,truncate1022,xgb_subject_robust
11,0.3868082567120632,0.45102833908189227,truncate1022,xgb_subject_robust
12,0.3743456787351509,0.4436254241262321,truncate1022,xgb_subject_robust
13,0.3630185599936056,0.43505757826345937,truncate1022,xgb_subject_robust
14,0.3529341434782275,0.4287266339071923,truncate1022,xgb_subject_robust
15,0.34310230026703054,0.4227334034146258,truncate1022,xgb_subject_robust
16,0.33419728565325096,0.4186709824156154,truncate1022,xgb_subject_robust
17,0.3252773435942849,0.41474977835874866,truncate1022,xgb_subject_robust
18,0.31653219023290363,0.4101119686987389,truncate1022,xgb_subject_robust
19,0.30894490862946683,0.40826496731972806,truncate1022,xgb_subject_robust
20,0.3022552577672693,0.4060045791513942,truncate1022,xgb_subject_robust
21,0.29517640628243685,0.40220617387374796,truncate1022,xgb_subject_robust
22,0.2884970215176987,0.40035781673052245,truncate1022,xgb_subject_robust
23,0.28233553409616796,0.39825224283116833,truncate1022,xgb_subject_robust
24,0.27631491333811586,0.3963330917025882,truncate1022,xgb_subject_robust
25,0.2703573556924819,0.39401742767680575,truncate1022,xgb_subject_robust
26,0.2647585215849605,0.39104302532763946,truncate1022,xgb_subject_robust
27,0.2585949817859141,0.3882921973709017,truncate1022,xgb_subject_robust
28,0.2533539735376431,0.3883621876248745,truncate1022,xgb_subject_robust
29,0.24866323419127281,0.3855617663529874,truncate1022,xgb_subject_robust
30,0.24423971465791305,0.384332689344538,truncate1022,xgb_subject_robust
31,0.23941499752252487,0.3830288601263116,truncate1022,xgb_subject_robust
32,0.23509562395381814,0.3810430019059115,truncate1022,xgb_subject_robust
33,0.23076342961430388,0.38032041443511844,truncate1022,xgb_subject_robust
34,0.2262647279934468,0.37883731930654635,truncate1022,xgb_subject_robust
35,0.22299636654722377,0.3774107155579798,truncate1022,xgb_subject_robust
36,0.2190952314919512,0.37565383900612315,truncate1022,xgb_subject_robust
37,0.21538576911529148,0.3756356299854815,truncate1022,xgb_subject_robust
38,0.21161582742926227,0.37367444686781337,truncate1022,xgb_subject_robust
39,0.20806790014027257,0.37194397866605194,truncate1022,xgb_subject_robust
40,0.2049522348073864,0.3713681298972073,truncate1022,xgb_subject_robust
41,0.20177701730558745,0.3702619229745189,truncate1022,xgb_subject_robust
42,0.19846867538892682,0.3699293462042179,truncate1022,xgb_subject_robust
43,0.19553077336385605,0.36890598441715594,truncate1022,xgb_subject_robust
44,0.19243891010323394,0.3693197321802102,truncate1022,xgb_subject_robust
45,0.1895909571242809,0.36811622246427256,truncate1022,xgb_subject_robust
46,0.18691372914810167,0.36840915102597876,truncate1022,xgb_subject_robust
47,0.1838649447091166,0.3670359173039388,truncate1022,xgb_subject_robust
48,0.18113490100382124,0.3666773713193834,truncate1022,xgb_subject_robust
49,0.17874193227935714,0.3662468621947078,truncate1022,xgb_subject_robust
50,0.17594164346665306,0.366023183520021,truncate1022,xgb_subject_robust
51,0.17353255074625193,0.36551464685773544,truncate1022,xgb_subject_robust
52,0.17102701545107432,0.3657630916266633,truncate1022,xgb_subject_robust
53,0.16833228838496253,0.3655503645185726,truncate1022,xgb_subject_robust
54,0.16578478603636426,0.3659189938830591,truncate1022,xgb_subject_robust
55,0.16371357203259318,0.36516480870260337,truncate1022,xgb_subject_robust
56,0.1614803987104688,0.3657960437057126,truncate1022,xgb_subject_robust
57,0.15930955353897155,0.3662113823229447,truncate1022,xgb_subject_robust
58,0.15703244654772183,0.3663111408111743,truncate1022,xgb_subject_robust
59,0.15511932978747275,0.36591797152801453,truncate1022,xgb_subject_robust
60,0.15317942492466996,0.36581045338082024,truncate1022,xgb_subject_robust
61,0.15061719951927813,0.367227800871694,truncate1022,xgb_subject_robust
62,0.1492542280035654,0.3667651436990127,truncate1022,xgb_subject_robust
63,0.14678648097578154,0.3652755273656954,truncate1022,xgb_subject_robust
64,0.14479760853680945,0.3646984544918976,truncate1022,xgb_subject_robust
65,0.14294452553736123,0.3640469604245111,truncate1022,xgb_subject_robust
66,0.14084913096230398,0.3634779490163998,truncate1022,xgb_subject_robust
67,0.13908757331817687,0.362874677904916,truncate1022,xgb_subject_robust
68,0.13747275021838323,0.3626307331982793,truncate1022,xgb_subject_robust
69,0.13577478442203536,0.3635322078275581,truncate1022,xgb_subject_robust
70,0.13502518880290804,0.36331500544609435,truncate1022,xgb_subject_robust
71,0.1329099036460404,0.3637174100957863,truncate1022,xgb_subject_robust
72,0.13143209051523802,0.3633113583297624,truncate1022,xgb_subject_robust
73,0.1303437631192357,0.36284332339117237,truncate1022,xgb_subject_robust
74,0.12872527191525218,0.3627910233572712,truncate1022,xgb_subject_robust
75,0.12720424145413436,0.36363735306076705,truncate1022,xgb_subject_robust
76,0.12617643706930856,0.36415753131991047,truncate1022,xgb_subject_robust
77,0.12457125419107212,0.3637191448554707,truncate1022,xgb_subject_robust
78,0.12260821633729302,0.3655328463204636,truncate1022,xgb_subject_robust
79,0.12139360535922043,0.365942631411599,truncate1022,xgb_subject_robust
80,0.1202782607936429,0.36553868180231397,truncate1022,xgb_subject_robust
81,0.11941934983482014,0.36582759335201614,truncate1022,xgb_subject_robust
82,0.11816272195627368,0.36583034918725454,truncate1022,xgb_subject_robust
83,0.11658446466361569,0.365923878468392,truncate1022,xgb_subject_robust
84,0.11518119131154973,0.3648315974504739,truncate1022,xgb_subject_robust
85,0.1138597247107169,0.3659482383577765,truncate1022,xgb_subject_robust
86,0.11266122467318666,0.3662749648663319,truncate1022,xgb_subject_robust
87,0.11126116037508851,0.36624540660165994,truncate1022,xgb_subject_robust
88,0.11044313064047583,0.36619168866740504,truncate1022,xgb_subject_robust
89,0.10915879921408415,0.3666831960646151,truncate1022,xgb_subject_robust
90,0.10829089420215356,0.3673786075238173,truncate1022,xgb_subject_robust
91,0.10719837557614673,0.3667093210010703,truncate1022,xgb_subject_robust
92,0.10582401805641231,0.36809647997897293,truncate1022,xgb_subject_robust
93,0.10509734073174905,0.36806581923802795,truncate1022,xgb_subject_robust
94,0.1043044687731464,0.3679691706460694,truncate1022,xgb_subject_robust
95,0.10274735266256946,0.3687602150953521,truncate1022,xgb_subject_robust
96,0.10174843397806714,0.3691866977530514,truncate1022,xgb_subject_robust
97,0.10064397511030812,0.36928712796307755,truncate1022,xgb_subject_robust
98,0.09910930060437025,0.3697161276251319,truncate1022,xgb_subject_robust
99,0.09793421887268304,0.36948048132062133,truncate1022,xgb_subject_robust
100,0.096497595503448,0.3699004575658667,truncate1022,xgb_subject_robust
101,0.09595934958288668,0.3702124903561694,truncate1022,xgb_subject_robust
102,0.0948707941327393,0.3705603433864545,truncate1022,xgb_subject_robust
103,0.09416522130079576,0.3710348109382688,truncate1022,xgb_subject_robust
104,0.0928793986173199,0.370510265767667,truncate1022,xgb_subject_robust
105,0.09167313920463332,0.3725034152467507,truncate1022,xgb_subject_robust
106,0.09079712544025874,0.37327924620654407,truncate1022,xgb_subject_robust
107,0.08993980461385462,0.37332229408558404,truncate1022,xgb_subject_robust
108,0.08921567226023738,0.3736687974944491,truncate1022,xgb_subject_robust
109,0.0884701038857002,0.3737010347265621,truncate1022,xgb_subject_robust
110,0.08740701675732106,0.374331934097292,truncate1022,xgb_subject_robust
111,0.0863967122308005,0.37462666100651,truncate1022,xgb_subject_robust
112,0.08528729589243651,0.3755245808359986,truncate1022,xgb_subject_robust
113,0.08455215772239398,0.37648747600447946,truncate1022,xgb_subject_robust
114,0.08392303444818672,0.37668730749148244,truncate1022,xgb_subject_robust
115,0.08303022621331048,0.3772062440750435,truncate1022,xgb_subject_robust
116,0.0821640535508097,0.3776115395314129,truncate1022,xgb_subject_robust
117,0.08139045807664841,0.3779211367304756,truncate1022,xgb_subject_robust
118,0.08065706463533814,0.377635079727312,truncate1022,xgb_subject_robust
119,0.07964163373716915,0.3777863740938806,truncate1022,xgb_subject_robust
120,0.07881430535112523,0.37795013020378837,truncate1022,xgb_subject_robust
121,0.07796674080730635,0.378204291152037,truncate1022,xgb_subject_robust
122,0.07723075304889286,0.3781026188455009,truncate1022,xgb_subject_robust
123,0.07626553892528987,0.37898387054829746,truncate1022,xgb_subject_robust
124,0.07563546985720011,0.3782521818710073,truncate1022,xgb_subject_robust
125,0.07505758889735649,0.37868754490854273,truncate1022,xgb_subject_robust
126,0.07431392687371917,0.37855839721925333,truncate1022,xgb_subject_robust
127,0.07388693815697273,0.37881231828403006,truncate1022,xgb_subject_robust
128,0.07305594118715669,0.3787221202728688,truncate1022,xgb_subject_robust
129,0.07236955051134002,0.3791750153255567,truncate1022,xgb_subject_robust
130,0.07137858016827513,0.37859692837850567,truncate1022,xgb_subject_robust
131,0.07050482236622009,0.3806550560529339,truncate1022,xgb_subject_robust
132,0.06982021492914275,0.3810186090805574,truncate1022,xgb_subject_robust
133,0.06934543462468754,0.3809815102120208,truncate1022,xgb_subject_robust
134,0.06862180052356047,0.3809551976026139,truncate1022,xgb_subject_robust
135,0.06789442137785087,0.3812386157244166,truncate1022,xgb_subject_robust
136,0.06708008257457185,0.3821454249533687,truncate1022,xgb_subject_robust
137,0.06652071344251946,0.3826077789313718,truncate1022,xgb_subject_robust
138,0.06557072169380262,0.3830948654475732,truncate1022,xgb_subject_robust
139,0.06461543757658544,0.38500852824331055,truncate1022,xgb_subject_robust
140,0.06393722447923664,0.3857113080890418,truncate1022,xgb_subject_robust
141,0.0630346045744647,0.3860853753212723,truncate1022,xgb_subject_robust
142,0.06227923042410959,0.38656570744987456,truncate1022,xgb_subject_robust
143,0.06188889925990747,0.387208739219878,truncate1022,xgb_subject_robust
144,0.06114440248639646,0.3875483806066903,truncate1022,xgb_subject_robust
145,0.06030433998821141,0.3868583807069862,truncate1022,xgb_subject_robust
146,0.05985328023106447,0.38745473811529035,truncate1022,xgb_subject_robust
147,0.05929463979160933,0.38717895315184486,truncate1022,xgb_subject_robust
148,0.05854403760041575,0.38727941107302927,truncate1022,xgb_subject_robust
149,0.05800970172458127,0.3875722416541302,truncate1022,xgb_subject_robust
150,0.05746003423468368,0.387838793686064,truncate1022,xgb_subject_robust
151,0.05673731186720265,0.3895115498476284,truncate1022,xgb_subject_robust
152,0.05606854477184913,0.39017680798834015,truncate1022,xgb_subject_robust
153,0.05549720962415765,0.39111480869191667,truncate1022,xgb_subject_robust
154,0.05485790257977397,0.3917230317662567,truncate1022,xgb_subject_robust
155,0.05436154930490488,0.3926153464646497,truncate1022,xgb_subject_robust
156,0.05382881036829528,0.3931651492031826,truncate1022,xgb_subject_robust
157,0.05320759910968594,0.39378839246523123,truncate1022,xgb_subject_robust
158,0.05266172873317425,0.3940587884710651,truncate1022,xgb_subject_robust
159,0.0520054216168617,0.39480412550720856,truncate1022,xgb_subject_robust
160,0.05169997803975233,0.3948212332684812,truncate1022,xgb_subject_robust
161,0.05122208024341936,0.3955767457681321,truncate1022,xgb_subject_robust
162,0.05064023286735179,0.3956641121229175,truncate1022,xgb_subject_robust
163,0.05027907303544544,0.3950566490852065,truncate1022,xgb_subject_robust
164,0.04998158530116748,0.395166706065235,truncate1022,xgb_subject_robust
165,0.04945953797717322,0.39602660918272803,truncate1022,xgb_subject_robust
166,0.04923181650713074,0.3966055064368077,truncate1022,xgb_subject_robust
167,0.04896356549189233,0.3969468597215719,truncate1022,xgb_subject_robust
168,0.04878730330528924,0.396841608136701,truncate1022,xgb_subject_robust
169,0.04834401615319801,0.39689003622603464,truncate1022,xgb_subject_robust
