model,loso_acc_mean,loso_acc_std,loso_macro_f1_mean,loso_macro_f1_std,loso_balanced_acc_mean,n_folds,n_features
logreg,0.5376016260162602,0.10997231037332346,0.5359192565025015,0.11098734531472243,0.5376016260162602,41,1231
rf,0.5264227642276422,0.09986275200437598,0.52235937665164,0.10153929772259764,0.5264227642276422,41,1231
xgb,0.5213414634146342,0.09613198040963794,0.5167548484278117,0.0965019968290488,0.5213414634146343,41,1231
subwindow_logreg,0.5365853658536586,0.08543841283326709,0.5263745061860556,0.09125497667757106,0.5365853658536586,41,252
