split,n_subjects,mean_arm,mean_hand,mean_diff_arm_minus_hand,std_diff_arm_minus_hand,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta_arm_vs_hand,sign_consistency_arm_gt_hand
train,41,0.87538014032984,0.8765869057184554,-0.001206765388615614,0.08505722756943358,415.0,0.8475205228487539,-0.09084552752947395,0.9280687449269008,-0.02631122347808844,0.4634146341463415
validation,12,0.8818463564320055,0.8721927212981327,0.009653635133872759,0.050882950468299076,21.0,0.17626953125,0.6572176485723564,0.5245539283573661,0.00472608024691358,0.75
