variant,loso_mean,loso_std,loso_min,loso_max,loso_n_below_05,val_mean,val_std,val_min,val_max,val_n_below_05
baseline,0.5602981029810299,0.12074588774283447,0.27777777777777773,0.75,10,0.5972222222222222,0.0921284663987611,0.4444444444444445,0.7222222222222223,2
coral_s1,0.5535230352303524,0.12720133318052423,0.3055555555555556,0.8333333333333334,13,0.576388888888889,0.08713950913120513,0.4166666666666667,0.6666666666666666,3
coral_s2,0.5589430894308942,0.10921915651273181,0.3333333333333333,0.75,12,0.5856481481481483,0.08245184743551454,0.47222222222222227,0.6944444444444445,3
coral_both,0.55420054200542,0.10703481382274302,0.3055555555555555,0.7222222222222223,12,0.5625000000000001,0.09107553505975002,0.4444444444444444,0.7222222222222223,3
ttime_anchor,0.5575880758807588,0.11272957438347986,0.2777777777777778,0.7777777777777777,10,0.5925925925925927,0.08968498721796098,0.47222222222222215,0.7222222222222222,3
