modality,n_features,val_acc,val_auc,PainArm_precision,PainArm_recall,PainArm_f1,PainHand_precision,PainHand_recall,PainHand_f1
BVP,52,0.5138888888888888,0.5189043209876543,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888
EDA,46,0.5069444444444444,0.5119598765432098,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.5069444444444444
RESP,44,0.5138888888888888,0.566092785493827,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888
SpO2,35,0.4791666666666667,0.4833622685185185,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
EDA+BVP,98,0.5486111111111112,0.5313464506172839,0.5486111111111112,0.5486111111111112,0.5486111111111112,0.5486111111111112,0.5486111111111112,0.5486111111111112
EDA+BVP+RESP,142,0.5208333333333334,0.5470920138888888,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334
All,177,0.5208333333333334,0.5297791280864197,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334
