modality,n_features,val_acc,val_macro_f1,NoPain_precision,NoPain_recall,NoPain_f1,PainArm_precision,PainArm_recall,PainArm_f1,PainHand_precision,PainHand_recall,PainHand_f1
BVP,52,0.5138888888888888,0.5138888888888888,0.7013888888888888,0.7013888888888888,0.7013888888888888,0.4375,0.4375,0.4375,0.4027777777777778,0.4027777777777778,0.4027777777777778
EDA,46,0.5138888888888888,0.513888888888889,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4930555555555556,0.4930555555555556,0.4930555555555556
RESP,44,0.4074074074074074,0.4074074074074074,0.4236111111111111,0.4236111111111111,0.4236111111111111,0.3402777777777778,0.3402777777777778,0.3402777777777778,0.4583333333333333,0.4583333333333333,0.4583333333333333
SpO2,35,0.4027777777777778,0.40277777777777773,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.3680555555555556,0.3680555555555556,0.3680555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333
EDA+BVP,98,0.5578703703703703,0.5578703703703703,0.7430555555555556,0.7430555555555556,0.7430555555555556,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4583333333333333,0.4583333333333333,0.4583333333333333
EDA+BVP+RESP,142,0.5462962962962963,0.5462962962962964,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4791666666666667,0.4791666666666667,0.4791666666666667
All,177,0.5555555555555556,0.5555555555555555,0.7430555555555556,0.7430555555555556,0.7430555555555556,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4722222222222222,0.4722222222222222,0.4722222222222222
