modality,n_features,val_acc,val_auc,NoPain_precision,NoPain_recall,NoPain_f1,Pain_precision,Pain_recall,Pain_f1
BVP,52,0.8055555555555556,0.8579764660493827,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8541666666666666,0.8541666666666666,0.8541666666666666
EDA,46,0.7546296296296297,0.8287278163580247,0.6319444444444444,0.6319444444444444,0.6319444444444444,0.8159722222222222,0.8159722222222222,0.8159722222222222
RESP,44,0.6064814814814815,0.5803915895061729,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.7048611111111112,0.7048611111111112,0.7048611111111112
SpO2,35,0.6574074074074074,0.6419753086419753,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.7430555555555556,0.7430555555555556,0.7430555555555556
EDA+BVP,98,0.8287037037037037,0.9036699459876544,0.7430555555555556,0.7430555555555556,0.7430555555555556,0.8715277777777778,0.8715277777777778,0.8715277777777778
EDA+BVP+RESP,142,0.8101851851851852,0.9003182870370371,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.8576388888888888,0.8576388888888888,0.8576388888888888
All,177,0.8194444444444444,0.9049479166666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8645833333333334,0.8645833333333334,0.8645833333333334
