iter,train_logloss,val_logloss
1,0.628364961543865,0.634913370979053
2,0.6202574725638883,0.6343946323764545
3,0.612054320753913,0.6335641111902617
4,0.6055984362394506,0.6328895274135802
5,0.6008497769553164,0.6325094641910659
6,0.596346023828195,0.6314968425366614
7,0.5907778259578759,0.6308503256489834
8,0.5868656152712943,0.6300567094650533
9,0.5822769500880545,0.6297719590020953
10,0.5777454937437201,0.6295418268483546
11,0.5731399135416763,0.6285222312780442
12,0.5681445451105028,0.6285366253168495
13,0.5633704597004222,0.6266775430283613
14,0.5593549883684653,0.626545613217685
15,0.5554309210621406,0.6275176269657634
16,0.551186103454531,0.6275119110941887
17,0.547686873685296,0.627119405678025
18,0.5441319078994475,0.6265841797684077
19,0.5409409196537524,0.6277788112078
20,0.5372315328315829,0.626463793149149
21,0.5324500454110181,0.6269039318172468
22,0.528562523071278,0.6278447905141447
23,0.5248076802669825,0.628152249691387
24,0.5199832880117383,0.6295689862152493
25,0.5173136549408681,0.6291308655507035
26,0.5143348155467491,0.6282073597389238
27,0.510699848041221,0.6277823092898837
28,0.506931502301357,0.6271712064260134
29,0.5037414637825838,0.6269231614898201
30,0.5004808985423751,0.628959947541632
31,0.4973183521309358,0.628689936845115
32,0.49235869065775134,0.6284107861143572
33,0.4886433523764132,0.6272740172636178
34,0.4851039831089941,0.6272433661614303
35,0.48092737056940876,0.6276690656388247
36,0.47874991251483845,0.6275010683608276
37,0.47592680984073216,0.6284887830347374
38,0.4721742201303725,0.629235802701226
39,0.46919415664018654,0.6305615581503069
40,0.46660998113312047,0.6310490611595688
41,0.4627507735740363,0.6326297875838699
42,0.45948065850671715,0.634157431035958
43,0.45552296234360395,0.6340235290634963
44,0.4527258822860999,0.634678015968314
45,0.4499985394661181,0.6346683303170182
46,0.4469028230312313,0.6354833950323088
47,0.444404309610445,0.6359055026054934
48,0.44294134844447863,0.6352774576042537
49,0.44058017633592855,0.6354547413238497
50,0.43836196785575654,0.6361545364337938
51,0.4374220080239582,0.6359809195553815
52,0.43393172701280613,0.6370164591267153
53,0.43090953338174476,0.6371041604283231
54,0.4290768523072082,0.6379470877797792
55,0.42797212392031175,0.6383320513974737
56,0.42670805603871503,0.638011268409038
57,0.4240208825495266,0.6375255333777103
58,0.4208379660084399,0.6365568791516125
59,0.4177508976078292,0.6370789697048841
60,0.4151587620640027,0.6386803751638918
61,0.4135124200404821,0.6388379207087888
62,0.410551380810295,0.637916317778743
63,0.40864119031100576,0.6378611042681668
64,0.4066714867040878,0.6374355163080273
65,0.4055851524226307,0.6386438893947612
66,0.40387770082791485,0.6399385315642037
67,0.40048348855196947,0.6401098222057853
68,0.3972995664449888,0.6405190765271308
69,0.39525770278380007,0.6422443126880184
70,0.3938420473630755,0.6434221680759004
71,0.39081953514397627,0.6437314402622482
72,0.3878555143060198,0.6437697909358475
73,0.38625810753685347,0.6446853724170338
74,0.3837301396085883,0.6466492919803217
75,0.3823073999426229,0.6469031872434748
76,0.3797429948944225,0.646881269187563
77,0.3791562970980073,0.6470580171552245
78,0.37790651706761624,0.6467381331948908
79,0.3757029898378867,0.6475292505454961
80,0.3732753722552402,0.6481617930327991
81,0.37094259672977414,0.6487405917486521
82,0.3696392663832764,0.6490549823458962
83,0.36841532873964,0.6492116483083615
84,0.3658911828633125,0.6497232585334806
85,0.36470712922251,0.6500445343036618
86,0.364095043845293,0.6506403627788165
87,0.36262638812889736,0.6512923477631476
88,0.3612599202499884,0.6524515401968664
89,0.3602058959539303,0.652284603462451
90,0.35931205458252574,0.6534049337453864
91,0.35785834683574796,0.6531773792252082
92,0.356425361334268,0.6524435653678935
93,0.3548368361013813,0.653127887337986
94,0.35287106590380835,0.6534786091048133
95,0.3519264186522987,0.6538246953170057
96,0.350903552348617,0.6537504767809339
97,0.3485796591897967,0.6546372425207799
98,0.34641844499856234,0.6554980680380983
99,0.3455597336547888,0.6557155997854553
100,0.34396328830329304,0.6556039925199002
101,0.3412232436921175,0.6566782037348107
