alpha_cnn,loso_mean,loso_std,loso_min,loso_max,loso_n_below_05,val_mean,val_std,val_min,val_max,val_n_below_05
0.0,0.556910569105691,0.11282552689093636,0.3333333333333333,0.75,10,0.576388888888889,0.0830170766579685,0.4444444444444445,0.75,1
0.25,0.5697831978319783,0.12205195703798512,0.3055555555555556,0.7777777777777777,11,0.5694444444444445,0.08663493332529516,0.47222222222222227,0.75,3
0.5,0.5691056910569107,0.11852389963506686,0.27777777777777773,0.7777777777777777,12,0.5648148148148148,0.08403186469177334,0.47222222222222215,0.75,3
0.75,0.5501355013550135,0.12410474347585135,0.3055555555555556,0.8333333333333334,13,0.5601851851851851,0.0728540094750837,0.47222222222222215,0.6666666666666666,3
1.0,0.551490514905149,0.11395001334137636,0.27777777777777773,0.8055555555555555,13,0.5648148148148148,0.07706503635182892,0.47222222222222215,0.6944444444444443,1
