s1_preproc,loso_mean,loso_std,loso_min,loso_max,loso_n_below05,val_mean,val_std,val_min,val_max,val_n_below05
trimmed_z,0.5677506775067752,0.11571183017425841,0.3055555555555556,0.75,9,0.5694444444444445,0.08417087531565132,0.4166666666666667,0.6944444444444445,3
rank,0.5677506775067752,0.12060943184379831,0.27777777777777773,0.7222222222222223,10,0.5717592592592592,0.0936076516260717,0.4166666666666667,0.6944444444444445,2
subject_robust,0.5602981029810299,0.12074588774283447,0.27777777777777773,0.75,10,0.5972222222222222,0.0921284663987611,0.4444444444444445,0.7222222222222223,2
clip_z,0.5643631436314364,0.13514952630142715,0.2222222222222222,0.7777777777777778,10,0.5949074074074076,0.08329825299781408,0.47222222222222227,0.7222222222222222,1
subject_z,0.5643631436314362,0.13769473085032918,0.16666666666666666,0.7777777777777777,10,0.5856481481481481,0.0841361441916987,0.4444444444444444,0.6944444444444445,2
