variant,n_sub,loso_macro_f1,loso_per_subject_std,loso_per_subject_min,val_macro_f1,val_per_subject_std,val_per_subject_min,hard10_loso_macro_f1
vote,5,0.5426829268292683,0.12363338476215893,0.3333333333333333,0.4375,0.09697388919283986,0.25,0.5
concat,5,0.5548780487804879,0.08943089430894309,0.4166666666666667,0.4861111111111111,0.1310275157230084,0.25,0.5333333333333333
