split,subject,accuracy,balanced_accuracy,macro_f1,macro_auc
train_loso,1,0.75,0.75,0.75,0.8940972222222223
train_loso,2,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.782986111111111
train_loso,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7725694444444445
train_loso,5,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.9091435185185187
train_loso,6,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.7939814814814814
train_loso,8,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.8350694444444445
train_loso,11,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.7627314814814815
train_loso,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8229166666666666
train_loso,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8182870370370371
train_loso,15,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6122685185185186
train_loso,16,0.75,0.75,0.75,0.8634259259259259
train_loso,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7974537037037037
train_loso,21,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.7170138888888888
train_loso,22,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.7280092592592592
train_loso,24,0.5555555555555556,0.5555555555555555,0.5555555555555555,0.7754629629629629
train_loso,25,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.6759259259259259
train_loso,27,0.6111111111111112,0.611111111111111,0.611111111111111,0.8449074074074074
train_loso,28,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8692129629629629
train_loso,29,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8229166666666666
train_loso,30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7800925925925927
train_loso,34,0.7777777777777778,0.7777777777777777,0.7777777777777777,0.8819444444444445
train_loso,36,0.5555555555555556,0.5555555555555557,0.5555555555555557,0.7216435185185185
train_loso,37,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.6973379629629631
train_loso,41,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7673611111111112
train_loso,42,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8541666666666666
train_loso,43,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8692129629629631
train_loso,44,0.6944444444444444,0.6944444444444445,0.6944444444444445,0.84375
train_loso,45,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8026620370370369
train_loso,46,0.3055555555555556,0.3055555555555555,0.3055555555555555,0.4890046296296297
train_loso,47,0.6944444444444444,0.6944444444444445,0.6944444444444445,0.832175925925926
train_loso,48,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8900462962962963
train_loso,49,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8559027777777777
train_loso,52,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8188657407407408
train_loso,53,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7962962962962963
train_loso,55,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.6446759259259259
train_loso,56,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6435185185185186
train_loso,57,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.8153935185185185
train_loso,58,0.7777777777777778,0.7777777777777777,0.7777777777777777,0.8356481481481483
train_loso,59,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.875
train_loso,60,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7644675925925926
train_loso,63,0.5,0.5,0.5,0.7309027777777777
validation,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.828125
validation,9,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.8096064814814815
validation,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8182870370370371
validation,14,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8119212962962963
validation,19,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6863425925925927
validation,35,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6938657407407408
validation,38,0.6388888888888888,0.638888888888889,0.638888888888889,0.7974537037037037
validation,39,0.6388888888888888,0.638888888888889,0.638888888888889,0.7604166666666666
validation,40,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7447916666666666
validation,61,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.8315972222222223
validation,62,0.5,0.49999999999999994,0.49999999999999994,0.6394675925925927
validation,65,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.7667824074074074
