split,n_subj,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std
train_loso,41,0.6077235772357723,0.10735436378199055,0.6077235772357723,0.10735436378199054,0.6077235772357723,0.10735436378199054,0.788010953026197,0.08550281857417846
validation,12,0.6041666666666666,0.07701761462784316,0.6041666666666666,0.07701761462784318,0.6041666666666666,0.07701761462784318,0.765721450617284,0.06050883112130138
