variant,loso_f1,loso_acc,val_f1,val_acc
baseline,0.5602981029810298,0.5602981029810298,0.5972222222222223,0.5972222222222222
multiview,0.5752032520325203,0.5752032520325203,0.5925925925925926,0.5925925925925926
residual,0.5602981029810298,0.5602981029810298,0.576388888888889,0.5763888888888888
mixup,0.5494579945799458,0.5494579945799458,0.5740740740740741,0.5740740740740741
mv+mixup,0.5528455284552846,0.5528455284552846,0.5694444444444445,0.5694444444444444
mv+mixup+resid,0.55420054200542,0.55420054200542,0.5694444444444445,0.5694444444444444
