strategy,model,n_features,loso_macro_f1,loso_acc,loso_per_subject_std,loso_per_subject_min,val_macro_f1,val_acc,val_per_subject_std,val_per_subject_min
global,logreg,20,0.5670731707317073,0.5670731707317073,0.10766603770852869,0.3333333333333333,0.5486111111111112,0.5486111111111112,0.09291033444624758,0.3333333333333333
nopain_robust,logreg,20,0.5609756097560976,0.5609756097560976,0.1073586394003598,0.4166666666666667,0.5347222222222222,0.5347222222222222,0.12936066673748026,0.25
subject_robust,logreg,20,0.5589430894308943,0.5589430894308943,0.0995312564771975,0.3333333333333333,0.5208333333333334,0.5208333333333334,0.09081039465709737,0.3333333333333333
subject_z,logreg,20,0.556910569105691,0.556910569105691,0.09815200380202956,0.4166666666666667,0.5486111111111112,0.5486111111111112,0.05334128991575423,0.5
nopain_center,logreg,20,0.5548780487804879,0.5548780487804879,0.11287352338955138,0.25,0.5277777777777778,0.5277777777777778,0.10936122047238628,0.3333333333333333
nopain_z_responder,logreg,21,0.5386178861788617,0.5386178861788617,0.09756097560975609,0.3333333333333333,0.4930555555555556,0.4930555555555556,0.09291033444624758,0.3333333333333333
nopain_z,xgb,20,0.5345528455284553,0.5345528455284553,0.0919813699104452,0.3333333333333333,0.5347222222222222,0.5347222222222222,0.11516058299845137,0.3333333333333333
nopain_z,logreg,20,0.532520325203252,0.532520325203252,0.09362839679903269,0.3333333333333333,0.5,0.5,0.08333333333333336,0.3333333333333333
nopain_center,xgb,20,0.532520325203252,0.532520325203252,0.10553459338005829,0.3333333333333333,0.5347222222222222,0.5347222222222222,0.12008066990132349,0.25
subject_z,xgb,20,0.5304878048780488,0.5304878048780488,0.09520356446040949,0.25,0.4652777777777778,0.4652777777777778,0.07183389189436529,0.3333333333333333
nopain_robust,xgb,20,0.5264227642276422,0.5264227642276422,0.09815200380202956,0.3333333333333333,0.5,0.5,0.11283386673105501,0.3333333333333333
subject_robust,xgb,20,0.5203252032520326,0.5203252032520326,0.11461684699082669,0.3333333333333333,0.5208333333333334,0.5208333333333334,0.06014065304058602,0.4166666666666667
global,xgb,20,0.5182926829268293,0.5182926829268293,0.08536585365853658,0.4166666666666667,0.5,0.5,0.07607257743127306,0.4166666666666667
nopain_z_responder,xgb,21,0.5,0.5,0.09016696346674323,0.3333333333333333,0.5277777777777778,0.5277777777777778,0.1145307118227128,0.3333333333333333
