mode,loso_macro_f1,loso_per_subject_std,loso_per_subject_min,val_macro_f1,val_per_subject_std,val_per_subject_min,loso_hard10_macro_f1,loso_easy10_macro_f1
uniform,0.5223577235772358,0.09743386027810474,0.3333333333333333,0.5138888888888888,0.08893228107545624,0.3333333333333333,0.5333333333333334,0.5000000000000001
squared_inv,0.5223577235772358,0.09567969346292536,0.25,0.5625,0.06909634979907082,0.4166666666666667,0.4916666666666666,0.5166666666666667
equal_subject,0.5223577235772358,0.09743386027810474,0.3333333333333333,0.5138888888888888,0.08893228107545624,0.3333333333333333,0.5333333333333334,0.5000000000000001
inv_reactivity,0.516260162601626,0.09242940651139897,0.25,0.5347222222222222,0.07183389189436527,0.4166666666666667,0.5083333333333334,0.5333333333333333
boost_hard,0.516260162601626,0.11076769588161556,0.25,0.5555555555555556,0.08561686115234689,0.4166666666666667,0.5,0.5166666666666667
