mode,split,subject,reactivity,macro_f1
uniform,loso,1,5.483057498931885,0.5
uniform,loso,2,15.268511772155762,0.5
uniform,loso,4,4.745827674865723,0.5
uniform,loso,5,11.29763412475586,0.5833333333333334
uniform,loso,6,10.289689064025879,0.5
uniform,loso,8,8.2930908203125,0.5
uniform,loso,11,3.661076545715332,0.5
uniform,loso,12,6.768889427185059,0.5
uniform,loso,13,5.53353214263916,0.6666666666666666
uniform,loso,15,6.016080856323242,0.5
uniform,loso,16,6.853532791137695,0.5833333333333334
uniform,loso,18,6.875477313995361,0.3333333333333333
uniform,loso,21,6.059638023376465,0.5
uniform,loso,22,5.0353007316589355,0.5
uniform,loso,24,4.067410469055176,0.5833333333333334
uniform,loso,25,3.466282367706299,0.4166666666666667
uniform,loso,27,4.950122833251953,0.4166666666666667
uniform,loso,28,3.468705415725708,0.6666666666666666
uniform,loso,29,9.991820335388184,0.5
uniform,loso,30,5.666553497314453,0.6666666666666666
uniform,loso,34,7.020632266998291,0.5833333333333334
uniform,loso,36,4.1647515296936035,0.6666666666666666
uniform,loso,37,3.55100154876709,0.6666666666666666
uniform,loso,41,6.754418849945068,0.5
uniform,loso,42,8.899688720703125,0.5833333333333334
uniform,loso,43,5.403414726257324,0.5
uniform,loso,44,4.567148208618164,0.6666666666666666
uniform,loso,45,4.966814994812012,0.5833333333333334
uniform,loso,46,3.136904239654541,0.4166666666666667
uniform,loso,47,8.70332145690918,0.5
uniform,loso,48,5.387817859649658,0.5833333333333334
uniform,loso,49,5.741820335388184,0.4166666666666667
uniform,loso,52,4.7716965675354,0.5
uniform,loso,53,3.805508613586426,0.6666666666666666
uniform,loso,55,4.2115397453308105,0.3333333333333333
uniform,loso,56,3.5431220531463623,0.4166666666666667
uniform,loso,57,5.192074298858643,0.4166666666666667
uniform,loso,58,6.940463542938232,0.4166666666666667
uniform,loso,59,6.267582893371582,0.6666666666666666
uniform,loso,60,4.816225051879883,0.5833333333333334
uniform,loso,63,4.817370414733887,0.3333333333333333
uniform,val,7,13.883086204528809,0.5833333333333334
uniform,val,9,16.824832916259766,0.5833333333333334
uniform,val,10,6.082812309265137,0.4166666666666667
uniform,val,14,3.967384099960327,0.6666666666666666
uniform,val,19,11.72419261932373,0.3333333333333333
uniform,val,35,4.105310440063477,0.5833333333333334
uniform,val,38,3.8232855796813965,0.5
uniform,val,39,9.087468147277832,0.5
uniform,val,40,4.617848873138428,0.5833333333333334
uniform,val,61,4.148331165313721,0.5
uniform,val,62,5.286617755889893,0.5
uniform,val,65,4.017488479614258,0.4166666666666667
inv_reactivity,loso,1,5.483057498931885,0.5
inv_reactivity,loso,2,15.268511772155762,0.5
inv_reactivity,loso,4,4.745827674865723,0.4166666666666667
inv_reactivity,loso,5,11.29763412475586,0.5833333333333334
inv_reactivity,loso,6,10.289689064025879,0.5833333333333334
inv_reactivity,loso,8,8.2930908203125,0.5833333333333334
inv_reactivity,loso,11,3.661076545715332,0.5
inv_reactivity,loso,12,6.768889427185059,0.5
inv_reactivity,loso,13,5.53353214263916,0.5833333333333334
inv_reactivity,loso,15,6.016080856323242,0.4166666666666667
inv_reactivity,loso,16,6.853532791137695,0.5833333333333334
inv_reactivity,loso,18,6.875477313995361,0.5
inv_reactivity,loso,21,6.059638023376465,0.5
inv_reactivity,loso,22,5.0353007316589355,0.5
inv_reactivity,loso,24,4.067410469055176,0.5833333333333334
inv_reactivity,loso,25,3.466282367706299,0.3333333333333333
inv_reactivity,loso,27,4.950122833251953,0.4166666666666667
inv_reactivity,loso,28,3.468705415725708,0.5833333333333334
inv_reactivity,loso,29,9.991820335388184,0.5
inv_reactivity,loso,30,5.666553497314453,0.5833333333333334
inv_reactivity,loso,34,7.020632266998291,0.5
inv_reactivity,loso,36,4.1647515296936035,0.6666666666666666
inv_reactivity,loso,37,3.55100154876709,0.5833333333333334
inv_reactivity,loso,41,6.754418849945068,0.5833333333333334
inv_reactivity,loso,42,8.899688720703125,0.6666666666666666
inv_reactivity,loso,43,5.403414726257324,0.5
inv_reactivity,loso,44,4.567148208618164,0.6666666666666666
inv_reactivity,loso,45,4.966814994812012,0.5833333333333334
inv_reactivity,loso,46,3.136904239654541,0.5
inv_reactivity,loso,47,8.70332145690918,0.4166666666666667
inv_reactivity,loso,48,5.387817859649658,0.4166666666666667
inv_reactivity,loso,49,5.741820335388184,0.5
inv_reactivity,loso,52,4.7716965675354,0.5833333333333334
inv_reactivity,loso,53,3.805508613586426,0.5833333333333334
inv_reactivity,loso,55,4.2115397453308105,0.3333333333333333
inv_reactivity,loso,56,3.5431220531463623,0.4166666666666667
inv_reactivity,loso,57,5.192074298858643,0.5
inv_reactivity,loso,58,6.940463542938232,0.5
inv_reactivity,loso,59,6.267582893371582,0.5
inv_reactivity,loso,60,4.816225051879883,0.6666666666666666
inv_reactivity,loso,63,4.817370414733887,0.25
inv_reactivity,val,7,13.883086204528809,0.5
inv_reactivity,val,9,16.824832916259766,0.6666666666666666
inv_reactivity,val,10,6.082812309265137,0.5
inv_reactivity,val,14,3.967384099960327,0.6666666666666666
inv_reactivity,val,19,11.72419261932373,0.4166666666666667
inv_reactivity,val,35,4.105310440063477,0.5
inv_reactivity,val,38,3.8232855796813965,0.5833333333333334
inv_reactivity,val,39,9.087468147277832,0.5
inv_reactivity,val,40,4.617848873138428,0.5833333333333334
inv_reactivity,val,61,4.148331165313721,0.5
inv_reactivity,val,62,5.286617755889893,0.5
inv_reactivity,val,65,4.017488479614258,0.5
squared_inv,loso,1,5.483057498931885,0.5
squared_inv,loso,2,15.268511772155762,0.5833333333333334
squared_inv,loso,4,4.745827674865723,0.4166666666666667
squared_inv,loso,5,11.29763412475586,0.5
squared_inv,loso,6,10.289689064025879,0.4166666666666667
squared_inv,loso,8,8.2930908203125,0.5
squared_inv,loso,11,3.661076545715332,0.4166666666666667
squared_inv,loso,12,6.768889427185059,0.6666666666666666
squared_inv,loso,13,5.53353214263916,0.5
squared_inv,loso,15,6.016080856323242,0.5
squared_inv,loso,16,6.853532791137695,0.6666666666666666
squared_inv,loso,18,6.875477313995361,0.4166666666666667
squared_inv,loso,21,6.059638023376465,0.5
squared_inv,loso,22,5.0353007316589355,0.5833333333333334
squared_inv,loso,24,4.067410469055176,0.5833333333333334
squared_inv,loso,25,3.466282367706299,0.4166666666666667
squared_inv,loso,27,4.950122833251953,0.5
squared_inv,loso,28,3.468705415725708,0.6666666666666666
squared_inv,loso,29,9.991820335388184,0.5
squared_inv,loso,30,5.666553497314453,0.6666666666666666
squared_inv,loso,34,7.020632266998291,0.5833333333333334
squared_inv,loso,36,4.1647515296936035,0.5
