variant,n_estimators,topk_s1,topk_s2,loso_mean,loso_std,loso_min,loso_max,loso_n_below_05,val_mean,val_std,val_min,val_max,val_n_below_05
n50_s1all_s2top20,50,98,20,0.5765582655826559,0.1237250548191554,0.25,0.7777777777777777,10,0.5763888888888888,0.07119017858086088,0.47222222222222215,0.6944444444444445,2
n50_s1top50_s2top20,50,50,20,0.5724932249322493,0.1274267595227042,0.19444444444444445,0.7777777777777777,8,0.5648148148148149,0.07706503635182896,0.4444444444444444,0.7222222222222222,2
n100_s1all_s2top20,100,98,20,0.5738482384823849,0.12212902951159048,0.25,0.7777777777777777,11,0.5902777777777778,0.07687517393883218,0.47222222222222215,0.7222222222222222,2
n200_baseline,200,98,20,0.5806233062330624,0.1255857998923366,0.25,0.7777777777777777,7,0.5879629629629629,0.0775188088878303,0.4444444444444444,0.7222222222222222,2
