iter,train_logloss,val_logloss
1,0.5972568528035146,0.606126697871972
2,0.5645276397507042,0.5799570193997136
3,0.5352989699499717,0.557217019368653
4,0.5093694116849563,0.5391856053223213
5,0.486534199195341,0.5238962708110059
6,0.4655652718976907,0.5096546170060281
7,0.44739472738853314,0.4969328048604506
8,0.43057063795363676,0.48856797338359886
9,0.41486706154617836,0.47803257854172476
10,0.4001783698211679,0.4676978372865253
11,0.3874539459947002,0.46008995944565095
12,0.3758436063642747,0.4530351166785867
13,0.3641584596235739,0.44629993851951977
14,0.3539304160853712,0.43971926408509415
15,0.3443057921015958,0.43521676643717067
16,0.3348768932093692,0.43023717367193764
17,0.3261142452739603,0.42661117301839924
18,0.31812858931356813,0.4237058092840016
19,0.31043460695098246,0.4206317092671438
20,0.3033787655293295,0.4167621332841615
21,0.2966639746616526,0.41331908387925337
22,0.28995015269251373,0.41220696092824693
23,0.2842445957214448,0.4099051835429337
24,0.27846579874050487,0.407715037982497
25,0.27263365472921836,0.4057861452801498
26,0.26698998407761093,0.40412603258327756
27,0.26163426295508374,0.4030265509306143
28,0.2568254548006345,0.401224495653339
29,0.25200821885834057,0.40014961793915266
30,0.24764660852872905,0.39896145461265137
31,0.24310544440850898,0.3980974707045351
32,0.23880258200028887,0.39588637270585253
33,0.2344041781722086,0.3950511369664498
34,0.23020626244899944,0.39459205813774906
35,0.22581781300673195,0.39415913654698265
36,0.22126619089495764,0.3928506356422548
37,0.21762467376751507,0.39332753177128593
38,0.21398848487786082,0.39252910780703165
39,0.2103248855545814,0.39163156366406904
40,0.20648488896800493,0.3899861925057377
41,0.20335355853576081,0.390757552727505
42,0.20115155204348165,0.3913040531937171
43,0.19783046924027042,0.39087593248458924
44,0.19506758311132427,0.39081413876179055
45,0.19325105972123663,0.39130261335177
46,0.19044728908400105,0.3920732968081548
47,0.1872360059823639,0.391051213481222
48,0.1848643479186052,0.3916023360410084
49,0.1817908009361516,0.3912885173620587
50,0.17923036396571593,0.39060503089395177
51,0.1773192631099676,0.3905078958573372
52,0.17477088164523003,0.39066868608912314
53,0.1725186465313118,0.3921514801612055
54,0.1694760254273812,0.39306257391796895
55,0.16683466998837526,0.39337200157266733
56,0.16458829695442162,0.39305709912959075
57,0.16207615721486207,0.39309907463568916
58,0.159557955756627,0.3928351800832725
59,0.1575816178487407,0.3930185313112344
60,0.1560920668888312,0.3931798890353767
61,0.15438154791317737,0.39477078053406095
62,0.15264166631896128,0.39441055621460286
63,0.15008273918962808,0.3950632458630328
64,0.1480740473642289,0.3948200602209437
65,0.14611837150513884,0.39539322900883334
66,0.14486544139255444,0.39591874746299627
67,0.1434578490131194,0.3956054247305642
68,0.14132724623833115,0.39573833313166956
69,0.1401665575608616,0.3951106466033875
70,0.13896687940895042,0.3949714690949164
71,0.13724703592883025,0.3946779571533962
72,0.13548729469120088,0.39587476630414903
73,0.13360128741740404,0.3973229844042281
74,0.1320014165324439,0.39789323630221013
75,0.1304044248343781,0.3984999327890196
