split,subject,accuracy,balanced_accuracy,macro_f1,precision_nopain,recall_nopain
train_loso,1,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,2,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,4,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,5,1.0,1.0,1.0,1.0,1.0
train_loso,6,1.0,1.0,1.0,1.0,1.0
train_loso,8,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,11,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,12,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,13,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,15,0.7222222222222222,0.6875,0.6875,0.5833333333333334,0.5833333333333334
train_loso,16,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,18,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,21,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,22,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,24,0.6666666666666666,0.625,0.625,0.5,0.5
train_loso,25,0.6666666666666666,0.625,0.625,0.5,0.5
train_loso,27,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,28,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,29,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,30,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,34,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,36,0.6111111111111112,0.5625,0.5625,0.4166666666666667,0.4166666666666667
train_loso,37,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,41,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,42,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,43,1.0,1.0,1.0,1.0,1.0
train_loso,44,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,45,0.7222222222222222,0.6875,0.6875,0.5833333333333334,0.5833333333333334
train_loso,46,0.4444444444444444,0.375,0.375,0.16666666666666666,0.16666666666666666
train_loso,47,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,48,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
train_loso,49,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,52,0.8333333333333334,0.8125,0.8125,0.75,0.75
train_loso,53,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,55,0.6666666666666666,0.625,0.625,0.5,0.5
train_loso,56,0.6111111111111112,0.5625,0.5625,0.4166666666666667,0.4166666666666667
train_loso,57,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,58,1.0,1.0,1.0,1.0,1.0
train_loso,59,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
train_loso,60,0.7777777777777778,0.75,0.75,0.6666666666666666,0.6666666666666666
train_loso,63,0.8333333333333334,0.8125,0.8125,0.75,0.75
validation,7,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
validation,9,0.9444444444444444,0.9375,0.9375,0.9166666666666666,0.9166666666666666
validation,10,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
validation,14,0.8333333333333334,0.8125,0.8125,0.75,0.75
validation,19,0.7222222222222222,0.6875,0.6875,0.5833333333333334,0.5833333333333334
validation,35,0.8333333333333334,0.8125,0.8125,0.75,0.75
validation,38,0.8333333333333334,0.8125,0.8125,0.75,0.75
validation,39,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
validation,40,0.7222222222222222,0.6875,0.6875,0.5833333333333334,0.5833333333333334
validation,61,0.8333333333333334,0.8125,0.8125,0.75,0.75
validation,62,0.6666666666666666,0.625,0.625,0.5,0.5
validation,65,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334
