feature,consistency,effect_size,score
Resp_diff_std,0.7575757346189171,0.42092097,0.3188795115913217
Resp_energy,0.7419354599375658,0.37869668,0.28096849550380026
Resp_range,0.6944444251543216,0.39951596,0.2774416288490128
Resp_mad,0.7142856938775517,0.38464293,0.2747449413206659
Resp_total_power,0.7297297100073051,0.36733407,0.2680545827871889
RESP_rate,0.6388888711419759,0.41831625,0.26725759359889834
Resp_rms,0.7187499775390632,0.3712977,0.2668702044015023
Resp_samp_entropy,0.6388888711419759,0.4137886,0.2643649231471827
Resp_peak_power,0.7428571216326537,0.3509404,0.2606985801053109
Resp_mean_abs,0.7352940960207619,0.35080826,0.2579472444905312
RESP_amp_mean,0.6388888711419759,0.3868838,0.24717575121766835
Resp_std,0.7499999765625008,0.3289805,0.24673537138936558
Resp_hjorth_activity,0.7272727052341605,0.33761358,0.2455371435493598
Resp_min,0.5945945785244708,0.39911494,0.23731157750466772
Resp_iqr,0.6874999785156257,0.33749804,0.2320298945665068
Resp_max,0.61764704065744,0.3724032,0.23001373715437487
Resp_skew,0.7058823321799315,0.3136534,0.2214024001806696
RESP_amp_std,0.6216216048210378,0.3491371,0.2170311629108824
Resp_spec_flatness,0.61764704065744,0.34713122,0.21440457228858364
Resp_hjorth_complexity,0.611111094135803,0.3506246,0.2142705775054565
Resp_mcr,0.5277777631172844,0.40045077,0.21134900956377722
Resp_zcr,0.5277777631172844,0.40045077,0.21134900956377722
Resp_kurtosis,0.5806451425598341,0.3557074,0.20653977804575724
Resp_p10,0.558823512975779,0.36318737,0.20295764347198392
Resp_dfa_alpha,0.4999999861111115,0.40273386,0.20136692560650177
Resp_cv,0.5833333171296301,0.34375128,0.20052157530487613
Resp_n_extrema,0.6562499794921882,0.3033749,0.19908976305244128
Resp_petrosian_fd,0.6363636170798904,0.30351707,0.19314722266978807
RESP_ie_ratio,0.5294117491349486,0.36404264,0.19272845066041308
Resp_p90,0.558823512975779,0.34270585,0.19151208468563485
Resp_mean_freq,0.5294117491349486,0.3612553,0.19125279397002137
Resp_spec_centroid,0.5294117491349486,0.3612553,0.19125279397002137
Resp_spec_bandwidth,0.6129032060353804,0.30218363,0.1852093144630296
Resp_spec_spread,0.6129032060353804,0.30218363,0.1852093144630296
Resp_perm_entropy,0.6129032060353804,0.30207172,0.1851407258623147
RESP_interval_std,0.5666666477777784,0.32553747,0.18447122853018116
Resp_approx_entropy,0.5483870790842877,0.3355503,0.1840114534147326
Resp_spec_entropy,0.5161290156087414,0.3506963,0.1810045337739449
Resp_peak_rel_power,0.5624999824218756,0.31702515,0.1783266440186191
Resp_median,0.5294117491349486,0.3362269,0.17800247671606612
Resp_mean,0.5277777631172844,0.3324686,0.17546953352972824
Resp_hjorth_mobility,0.5483870790842877,0.2923788,0.16033676326274005
Resp_spec_edge_95,0.599999976000001,0.21376581,0.1282594838098596
Resp_peak_freq,0.6666665555555741,0.05571776,0.037145166365380296
