variant,loso_f1_fix,loso_acc_fix,val_f1_fix,val_acc_fix,loso_f1_tuned,loso_acc_tuned,val_f1_tuned,val_acc_tuned,best_w
upgraded_xgb,0.5602981029810298,0.5602981029810298,0.5972222222222223,0.5972222222222222,0.5602981029810298,0.5602981029810298,0.6064814814814814,0.6064814814814815,"(0.4, 0.6, 0.6)"
upgraded_xgb_iso,0.5657181571815718,0.5657181571815718,0.5740740740740741,0.5740740740740741,0.5643631436314362,0.5643631436314364,0.5995370370370371,0.5995370370370371,"(0.4, 1.0, 0.6)"
suite31_xgb,0.567750677506775,0.5677506775067751,0.5810185185185185,0.5810185185185185,0.5657181571815718,0.5657181571815718,0.5879629629629629,0.5879629629629629,"(0.4, 0.6, 0.6)"
upgraded_rf,0.5602981029810298,0.5602981029810298,0.5439814814814815,0.5439814814814815,0.5602981029810298,0.5602981029810298,0.5648148148148148,0.5648148148148148,"(0.4, 1.2, 1.6)"
