subject,acc
1,0.9444444444444444
2,0.8611111111111112
4,0.75
5,0.9166666666666666
6,0.9444444444444444
8,0.8333333333333334
11,0.75
12,0.8055555555555556
13,0.9166666666666666
15,0.8055555555555556
16,0.8888888888888888
18,0.6944444444444444
21,0.8055555555555556
22,0.6666666666666666
24,0.7222222222222222
25,0.6388888888888888
27,0.75
28,0.75
29,0.8611111111111112
30,0.8055555555555556
34,0.9444444444444444
36,0.6944444444444444
37,0.6944444444444444
41,0.7222222222222222
42,0.9166666666666666
43,0.9166666666666666
44,0.8333333333333334
45,0.75
46,0.5555555555555556
47,0.8888888888888888
48,0.8333333333333334
49,0.8611111111111112
52,0.8333333333333334
53,0.75
55,0.6944444444444444
56,0.8055555555555556
57,0.6944444444444444
58,0.8888888888888888
59,0.9722222222222222
60,0.8611111111111112
63,0.8333333333333334
