subject,split,reactivity_l2,reactivity_mean,arm_hand_sep_mean,arm_hand_sep_max,nan_frac,within_std_mean,within_iqr_mean,loso_macro_f1,group
1,train,1506079.125,7135.78076171875,0.10890151515151518,0.3472222222222222,0.0,11907.5673828125,19403.39040576309,0.6944444444444445,easy
2,train,21230.119140625,101.42740631103516,0.18797348484848483,0.4861111111111111,0.0,91.23468780517578,89.45625924869957,0.5555555555555556,mid
4,train,94190.5078125,444.9463806152344,0.2698863636363636,0.5972222222222222,0.0,1166.21240234375,1551.7000670542948,0.4444444444444444,hard
5,train,226196.25,1192.6851806640625,0.24100378787878787,0.5555555555555556,0.0,1569.8502197265625,1888.5003742451113,0.6944444444444445,easy
6,train,213594.921875,1164.6591796875,0.1728219696969697,0.4444444444444444,0.0,3554.255615234375,1894.4796648611566,0.6666666666666666,easy
7,validation,348609.53125,1762.6663818359375,0.17960858585858586,0.4583333333333333,0.0,2197.995361328125,1476.011984061499,,mid
8,train,2795808.75,13335.853515625,0.12831439393939392,0.5,0.0,18472.63671875,29544.385906128402,0.6388888888888888,mid
9,validation,36013.04296875,231.57510375976562,0.21401515151515155,0.6388888888888888,0.0,785.8886108398438,772.0800892445893,,mid
10,validation,149180.9375,767.5654296875,0.17945075757575757,0.4097222222222222,0.0,737.065673828125,1009.7320667592953,,mid
11,train,366100.8125,1755.8756103515625,0.11647727272727272,0.5972222222222222,0.0,1938.5914306640625,2008.879240927805,0.4444444444444444,hard
12,train,254854.90625,1222.0780029296875,0.10748106060606061,0.375,0.0,2040.914794921875,2808.9114503217443,0.5277777777777778,mid
13,train,455181.21875,2234.626220703125,0.1620896464646465,0.6111111111111112,0.0,2648.201171875,1651.646569946671,0.5555555555555555,mid
14,validation,58689.98828125,375.8948974609375,0.3832070707070706,0.6944444444444444,0.0,5314.73291015625,3490.38473833104,,mid
15,train,93406.1328125,442.0526123046875,0.13099747474747472,0.5416666666666666,0.0,874.3876953125,1089.8114611552662,0.3888888888888889,hard
16,train,1451841.375,6921.69921875,0.16871843434343434,0.4305555555555556,0.0,13820.404296875,20306.176903011736,0.6388888888888888,mid
18,train,359149.625,1697.439697265625,0.16934974747474746,0.5138888888888888,0.0,10132.8447265625,12536.657428967017,0.5,mid
19,validation,2146361.0,10130.6298828125,0.270675505050505,0.5972222222222222,0.0,8711.908203125,14162.901881184796,,mid
21,train,21812.052734375,134.4537811279297,0.17771464646464644,0.4166666666666667,0.0,416.46337890625,278.596361550727,0.5,mid
22,train,93871.25,510.8089294433594,0.16082702020202022,0.4583333333333333,0.0,6021.85986328125,8375.908151116404,0.4444444444444444,hard
24,train,297407.21875,1413.8531494140625,0.2498421717171717,0.5416666666666666,0.0,1587.335693359375,1992.3945399010834,0.5833333333333334,mid
25,train,64033.015625,304.0871276855469,0.2247474747474748,0.5138888888888888,0.0,2179.27880859375,2306.362280128199,0.4166666666666667,hard
27,train,734707.25,3483.15966796875,0.37563131313131315,0.7083333333333334,0.0,5148.06494140625,4249.276005128188,0.5277777777777778,mid
28,train,1885.7928466796875,9.917966842651367,0.3214962121212121,0.6805555555555556,0.0,35.56128692626953,31.171487711305996,0.638888888888889,easy
29,train,1691234.625,8291.814453125,0.13383838383838384,0.5416666666666666,0.0,9604.5546875,12982.35943487243,0.5555555555555556,mid
30,train,551828.1875,2628.249755859375,0.13652146464646464,0.4583333333333333,0.0,6153.71337890625,1893.3453563302753,0.5833333333333334,mid
34,train,1033711.5,5043.35546875,0.20501893939393942,0.8194444444444444,0.0,3682.48828125,5819.070838195854,0.7222222222222222,easy
35,validation,12916.5732421875,63.14385986328125,0.3196022727272727,0.6388888888888888,0.0,333.6974792480469,354.260000882427,,mid
36,train,318457.84375,1507.9818115234375,0.24747474747474743,0.5833333333333334,0.0,7520.6142578125,11256.99731132868,0.5555555555555557,mid
37,train,95828.6015625,457.0937805175781,0.13999368686868685,0.375,0.0,867.7453002929688,1166.015401042067,0.611111111111111,mid
38,validation,551968.875,2607.768798828125,0.1835542929292929,0.4861111111111111,0.0,6367.18212890625,4823.36050001851,,mid
39,validation,386720.0,1964.7193603515625,0.1772411616161616,0.4861111111111111,0.0,4127.5439453125,2817.4249846871435,,mid
40,validation,214135.203125,1069.446044921875,0.21590909090909086,0.6527777777777778,0.0,4432.4296875,1004.2669004311068,,mid
41,train,245160.390625,1161.1292724609375,0.10148358585858586,0.25,0.0,9028.3359375,10891.172189351679,0.5000000000000001,mid
42,train,479931.09375,2284.76708984375,0.09880050505050506,0.3680555555555556,0.0,12341.07421875,25556.92960603768,0.611111111111111,mid
43,train,444562.15625,2284.89306640625,0.17834595959595959,0.5,0.0,3654.137939453125,3064.0300506059793,0.6666666666666666,easy
44,train,518985.96875,2461.024169921875,0.21527777777777776,0.4513888888888889,0.0,2854.22705078125,3472.374058595334,0.7777777777777777,easy
45,train,23230.0859375,131.24005126953125,0.34059343434343436,0.7638888888888888,0.0,1011.1115112304688,1166.3277580159177,0.4166666666666667,hard
46,train,201109.984375,952.5281372070312,0.13667929292929293,0.375,0.0,4185.607421875,6540.95497110368,0.3611111111111111,hard
47,train,1219488.25,5826.1201171875,0.150094696969697,0.4861111111111111,0.0,5737.091796875,6473.294258061956,0.6944444444444445,easy
48,train,118808.9921875,610.024169921875,0.2238005050505051,0.5833333333333334,0.0,1316.290771484375,891.9873452359435,0.6666666666666666,easy
49,train,106359.765625,528.1510009765625,0.305239898989899,0.6875,0.0,5026.87109375,4882.9372333662905,0.5833333333333334,mid
52,train,42035.40625,212.82484436035156,0.19744318181818177,0.7361111111111112,0.0,2608.2470703125,2954.700463901989,0.5833333333333334,mid
53,train,443804.53125,2127.90673828125,0.235479797979798,0.5416666666666666,0.0,1646.1441650390625,3023.0900558267203,0.6944444444444445,easy
55,train,14030.6044921875,68.61033630371094,0.12720959595959597,0.2916666666666667,0.0,2668.32421875,4429.437793275859,0.3333333333333333,hard
56,train,506939.78125,2406.434326171875,0.2821969696969697,0.7083333333333334,0.0,5536.357421875,5783.5901952561635,0.3888888888888888,hard
57,train,936325.25,4441.60546875,0.11063762626262624,0.4444444444444444,0.0,7183.33740234375,2924.086745730919,0.5277777777777778,mid
58,train,222540.96875,1155.98095703125,0.10684974747474749,0.4444444444444444,0.0,968.8888549804688,1245.056968711006,0.6388888888888888,mid
59,train,1296436.875,6137.0234375,0.23469065656565655,0.6666666666666666,0.0,7903.67724609375,5627.467991837351,0.6388888888888888,mid
60,train,379853.0,1797.715087890625,0.14441287878787878,0.4305555555555556,0.0,4139.20703125,7916.353355808129,0.4722222222222222,mid
61,validation,330496.78125,1612.8389892578125,0.3532196969696969,0.7222222222222222,0.0,3618.795654296875,5452.774060814895,,mid
62,validation,1298610.0,6141.9111328125,0.18607954545454544,0.4722222222222222,0.0,9486.8564453125,14152.47113715312,,mid
63,train,326797.78125,1664.57470703125,0.18797348484848486,0.5694444444444444,0.0,5792.83447265625,8103.759379849471,0.4444444444444444,hard
65,validation,1187378.5,5648.98583984375,0.1710858585858586,0.5694444444444444,0.0,6670.7080078125,9205.605768717094,,mid
