group,modality,mean,median,count
easy,bvp,0.198303952991453,0.17554754273504275,10
easy,eda,0.19085144927536232,0.1890096618357488,10
easy,resp,0.20522411616161618,0.2101483585858586,10
hard,bvp,0.15881410256410255,0.13748664529914528,10
hard,eda,0.1750905797101449,0.18078200483091786,10
hard,resp,0.1977588383838384,0.17440025252525254,10
mid,bvp,0.19897290209790208,0.18175747863247865,33
mid,eda,0.18020330112721417,0.15730676328502416,33
mid,resp,0.19751970462197732,0.17945075757575757,33
