scope,split,subject,n,pearson_r,pearson_p,pointbiserial_r,pointbiserial_p
global,train,ALL,984,0.0025831819157383223,0.9354989026840614,0.0025831819157383223,0.9354989026840614
per_subject,train,1,24,0.17180247578388155,0.42213595936612736,0.17180247578388155,0.42213595936612736
per_subject,train,2,24,0.20686507688709282,0.33211001629490217,0.20686507688709282,0.33211001629490217
per_subject,train,4,24,0.2723422703009057,0.1979287852023333,0.2723422703009057,0.1979287852023333
per_subject,train,5,24,0.14640390826308758,0.49483817808697356,0.14640390826308758,0.49483817808697356
per_subject,train,6,24,0.13198705571765637,0.5386980016452478,0.13198705571765637,0.5386980016452478
per_subject,train,8,24,-0.03125499850798504,0.884727776208035,-0.03125499850798504,0.884727776208035
per_subject,train,11,24,-0.16258954063002387,0.447808368274937,-0.16258954063002387,0.447808368274937
per_subject,train,12,24,-0.060514814784688786,0.77879325644715,-0.060514814784688786,0.77879325644715
per_subject,train,13,24,0.3358812312812359,0.10857040945585796,0.3358812312812359,0.10857040945585796
per_subject,train,15,24,0.1726173644640926,0.4199045862018417,0.1726173644640926,0.4199045862018417
per_subject,train,16,24,0.1267827039228398,0.5549632016885973,0.1267827039228398,0.5549632016885973
per_subject,train,18,24,-0.05793123506122978,0.7880227623982333,-0.05793123506122978,0.7880227623982333
per_subject,train,21,24,0.26860331689508443,0.2044007910834751,0.26860331689508443,0.2044007910834751
per_subject,train,22,24,-0.22282053374253463,0.295307143589728,-0.22282053374253463,0.295307143589728
per_subject,train,24,24,-0.025314390952785287,0.9065329899072223,-0.025314390952785287,0.9065329899072223
per_subject,train,25,24,-0.1521593939476628,0.4778394897865183,-0.1521593939476628,0.4778394897865183
per_subject,train,27,24,0.15438850576920793,0.4713366541038667,0.15438850576920793,0.4713366541038667
per_subject,train,28,24,0.17135802824275032,0.4233556881279591,0.17135802824275032,0.4233556881279591
per_subject,train,29,24,0.2967219886094646,0.15913746049590718,0.2967219886094646,0.15913746049590718
per_subject,train,30,24,0.31845845677218265,0.12935766404942076,0.31845845677218265,0.12935766404942076
per_subject,train,34,24,-0.19209197690056434,0.36852862098047506,-0.19209197690056434,0.36852862098047506
per_subject,train,36,24,-0.22261286689095364,0.29576913820954615,-0.22261286689095364,0.29576913820954615
per_subject,train,37,24,-0.19947505526925355,0.35004849431201307,-0.19947505526925355,0.35004849431201307
per_subject,train,41,24,-0.05703812200111498,0.7912198101727623,-0.05703812200111498,0.7912198101727623
per_subject,train,42,24,0.16718480815777237,0.434901674642737,0.16718480815777237,0.434901674642737
per_subject,train,43,24,-0.258619715200948,0.22237807821669595,-0.258619715200948,0.22237807821669595
per_subject,train,44,24,0.05417866347401624,0.8014774740852484,0.05417866347401624,0.8014774740852484
per_subject,train,45,24,0.09473542639806101,0.6597026021708249,0.09473542639806101,0.6597026021708249
per_subject,train,46,24,-0.25796115933622293,0.22359976069883689,-0.25796115933622293,0.22359976069883689
per_subject,train,47,24,0.2234034216916088,0.2940128003767609,0.2234034216916088,0.2940128003767609
per_subject,train,48,24,-0.12345261936812676,0.5654863622721293,-0.12345261936812676,0.5654863622721293
per_subject,train,49,24,0.014669740338631023,0.9457588494896502,0.014669740338631023,0.9457588494896502
per_subject,train,52,24,-0.1351300120184374,0.5289842807844382,-0.1351300120184374,0.5289842807844382
per_subject,train,53,24,0.2693131129507501,0.2031612902549271,0.2693131129507501,0.2031612902549271
per_subject,train,55,24,-0.14520717521155665,0.498410014620804,-0.14520717521155665,0.498410014620804
per_subject,train,56,24,0.22701330222937327,0.2860757462234289,0.22701330222937327,0.2860757462234289
per_subject,train,57,24,-0.10175863798771206,0.6361187356097875,-0.10175863798771206,0.6361187356097875
per_subject,train,58,24,0.2991847492438499,0.1555408579484882,0.2991847492438499,0.1555408579484882
per_subject,train,59,24,-0.30671221167396145,0.1449041744083762,-0.30671221167396145,0.1449041744083762
per_subject,train,60,24,0.12642871693976082,0.5560775684643257,0.12642871693976082,0.5560775684643257
per_subject,train,63,24,-0.47626422873619434,0.01863774017877645,-0.47626422873619434,0.01863774017877645
global,validation,ALL,288,-0.02079017913139753,0.7253448348012606,-0.02079017913139753,0.7253448348012606
per_subject,validation,7,24,-0.029962112407935764,0.8894669961286708,-0.029962112407935764,0.8894669961286708
per_subject,validation,9,24,-0.08159741906879599,0.7046601245417867,-0.08159741906879599,0.7046601245417867
per_subject,validation,10,24,-0.015277287345394634,0.9435158774434295,-0.015277287345394634,0.9435158774434295
per_subject,validation,14,24,-0.07162250812343053,0.7394562089322084,-0.07162250812343053,0.7394562089322084
per_subject,validation,19,24,0.03308419574862716,0.8780292306772265,0.03308419574862716,0.8780292306772265
per_subject,validation,35,24,-0.1900345918421643,0.3737770201217218,-0.1900345918421643,0.3737770201217218
per_subject,validation,38,24,-0.25878760043507965,0.22206734766883512,-0.25878760043507965,0.22206734766883512
per_subject,validation,39,24,0.0161443013150796,0.9403157176871072,0.0161443013150796,0.9403157176871072
per_subject,validation,40,24,0.17345193167071696,0.4176260251313261,0.17345193167071696,0.4176260251313261
per_subject,validation,61,24,-0.18968208736001577,0.3746805547608241,-0.18968208736001577,0.3746805547608241
per_subject,validation,62,24,-0.028322612290367314,0.8954820357791292,-0.028322612290367314,0.8954820357791292
per_subject,validation,65,24,-0.02359773704556332,0.9128469427642139,-0.02359773704556332,0.9128469427642139
