component,explained_variance_ratio
1,0.17969099827354634
2,0.13411247529952763
3,0.09357835491551837
4,0.0877614495462837
5,0.063169788903937
6,0.04659494467469969
7,0.03729839522293139
8,0.03582460558430067
9,0.024538689492919215
10,0.022563368429358237
11,0.021484985835762572
12,0.01591483768582673
13,0.015533062530214461
14,0.013877770025646077
15,0.012438414768705018
16,0.011893183142009442
17,0.009632468351916959
18,0.009195760419694802
19,0.008355253690314528
20,0.007980490804204838
