config_id,model,params_str,feature_set,preproc,loso_macro_f1_mean,loso_macro_f1_std,n_folds,loso_acc_mean,loso_balanced_acc_mean,elapsed_s_total,val_macro_f1,val_acc,val_balanced_acc,n_val
d436d3b84ede,svm_linear,"{""C"": 0.1}",top80_cliff,std,0.5970561695880936,0.10832140867806528,41,0.6016260162601627,0.6016260162601627,1.992601156234739,0.5238405560986206,0.5243055555555556,0.5243055555555556,288.0
2648c62761d6,lr_l2,"{""C"": 0.01}",top80_cliff,std,0.5856584455821359,0.10608709127623624,41,0.5894308943089431,0.5894308943089431,0.3732664585113508,0.5173087357569182,0.5173611111111112,0.5173611111111112,288.0
8b77df4e16c7,lr_l2,"{""C"": 1.0}",top40_anova,std,0.5807930583300536,0.11064372256440579,41,0.584349593495935,0.584349593495935,0.6709685325622539,0.5311991318502441,0.53125,0.53125,288.0
d2091a666ddb,lr_l2,"{""C"": 0.1}",top80_cliff,std,0.5806600226299106,0.10713883697231988,41,0.5853658536585366,0.5853658536585366,0.5728511810302716,0.5647916439995648,0.5659722222222222,0.5659722222222222,288.0
6853aee05608,lr_l2,"{""C"": 1.0}",top40_anova,robust,0.5775311691398128,0.10778439102990454,41,0.5813008130081301,0.5813008130081301,1.0318701267242414,0.5241621341308988,0.5243055555555556,0.5243055555555556,288.0
cce051af4c67,svm_linear,"{""C"": 1.0}",top80_cliff,std,0.5769674946637877,0.10894011331138173,41,0.5813008130081301,0.5813008130081301,8.211768865585325,0.4993964559895708,0.5,0.5,288.0
2fe0953bfe3f,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.3}",top80_cliff,std,0.5762760815935127,0.1084292789497164,41,0.5802845528455285,0.5802845528455285,5.41003108024597,0.5478260869565217,0.5486111111111112,0.5486111111111112,288.0
d27f5bdd10de,lr_l1,"{""C"": 1.0}",top80_cliff,robust,0.5749534715706508,0.10979976740893696,41,0.5792682926829268,0.5792682926829268,2.1932470798492414,0.5619718989908744,0.5625,0.5625,288.0
0845176596b0,lr_en,"{""C"": 1.0, ""l1_ratio"": 0.5}",top80_cliff,std,0.5744614225182669,0.10531796860175335,41,0.5792682926829268,0.5792682926829268,15.090128898620605,0.5514289508952828,0.5520833333333334,0.5520833333333333,288.0
09557f2fa752,lr_l1,"{""C"": 1.0}",top80_cliff,std,0.5737282602712083,0.10675598300295942,41,0.5782520325203252,0.5782520325203252,2.007791280746458,0.5581274539414074,0.5590277777777778,0.5590277777777777,288.0
e92ed61c2102,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.5}",top80_cliff,std,0.5727603823751578,0.11035341573651611,41,0.5772357723577236,0.5772357723577236,4.4844179153442365,0.544210208396255,0.5451388888888888,0.5451388888888888,288.0
8d7e33741eb4,lr_en,"{""C"": 1.0, ""l1_ratio"": 0.3}",top80_cliff,std,0.5723013984176278,0.10513262570722862,41,0.5772357723577236,0.5772357723577235,17.898369550704956,0.554502827862909,0.5555555555555556,0.5555555555555556,288.0
49a3c8923c5c,lr_l1,"{""C"": 1.0}",top40_anova,std,0.5719858621949488,0.10991623836019095,41,0.5762195121951219,0.5762195121951219,1.3307738304138164,0.5277550036170726,0.5277777777777778,0.5277777777777778,288.0
05a1c6c65b77,lr_en,"{""C"": 1.0, ""l1_ratio"": 0.7}",top80_cliff,std,0.5717818480571443,0.10703982120374061,41,0.5762195121951219,0.5762195121951219,11.213003396987913,0.558383540803883,0.5590277777777778,0.5590277777777778,288.0
0fa47bbc7534,lr_l2,"{""C"": 1.0}",top80_cliff,robust,0.5714550882924205,0.10722714321477211,41,0.5762195121951219,0.5762195121951219,1.592720031738279,0.5511688311688312,0.5520833333333334,0.5520833333333333,288.0
190da52d715b,lr_l2,"{""C"": 1.0}",top80_cliff,std,0.5702359486199146,0.10523592571717154,41,0.5752032520325203,0.5752032520325203,0.8866338729858382,0.5541795665634675,0.5555555555555556,0.5555555555555556,288.0
0c0ff9e27667,lr_l1,"{""C"": 1.0}",top40_anova,robust,0.5698876153120148,0.107552218679553,41,0.5741869918699187,0.5741869918699187,1.2362806797027568,0.534632452247733,0.5347222222222222,0.5347222222222223,288.0
6d45f951ac45,svm_linear,"{""C"": 10.0}",top80_cliff,std,0.5689737767443009,0.1108421956555876,41,0.573170731707317,0.573170731707317,79.18872499465942,0.5017361321154195,0.5034722222222222,0.5034722222222222,288.0
837f0da92596,lr_l1,"{""C"": 0.1}",top80_cliff,std,0.5661766371178931,0.10333432617214681,41,0.5691056910569106,0.5691056910569106,0.2995977401733376,0.5450017486945091,0.5451388888888888,0.5451388888888888,288.0
afe7cb06815a,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.7}",top80_cliff,std,0.565585589188563,0.11328224382085675,41,0.5691056910569106,0.5691056910569106,2.621016025543211,0.5482625482625483,0.5486111111111112,0.5486111111111112,288.0
