k,loso_macro_f1,loso_acc,loso_per_subject_std,loso_per_subject_min,val_macro_f1,val_acc,val_per_subject_std,val_per_subject_min,stratum_counts
2,0.5304878048780488,0.5304878048780488,0.10693452388590168,0.3333333333333333,0.5625,0.5625,0.06014065304058601,0.5,"{0: 20, 1: 21}"
1,0.5223577235772358,0.5223577235772358,0.09743386027810474,0.3333333333333333,0.5138888888888888,0.5138888888888888,0.08893228107545624,0.3333333333333333,{0: 41}
3,0.5203252032520326,0.5203252032520326,0.11896756607042192,0.25,0.5347222222222222,0.5347222222222222,0.10462860537027335,0.25,"{0: 14, 1: 13, 2: 14}"
4,0.5060975609756098,0.5060975609756098,0.10311911295907172,0.3333333333333333,0.5277777777777778,0.5277777777777778,0.039283710065919325,0.5,"{0: 10, 1: 10, 2: 10, 3: 11}"
