split,subject,accuracy,balanced_accuracy,macro_f1
train_loso,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,2,0.6388888888888888,0.638888888888889,0.638888888888889
train_loso,4,0.6388888888888888,0.6388888888888888,0.6388888888888888
train_loso,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,6,0.7222222222222222,0.7222222222222223,0.7222222222222223
train_loso,8,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,11,0.5555555555555556,0.5555555555555556,0.5555555555555556
train_loso,12,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,13,0.5277777777777778,0.5277777777777778,0.5277777777777778
train_loso,15,0.3611111111111111,0.3611111111111111,0.3611111111111111
train_loso,16,0.6388888888888888,0.638888888888889,0.638888888888889
train_loso,18,0.5277777777777778,0.5277777777777778,0.5277777777777778
train_loso,21,0.4722222222222222,0.47222222222222215,0.47222222222222215
train_loso,22,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,24,0.5277777777777778,0.5277777777777778,0.5277777777777778
train_loso,25,0.5555555555555556,0.5555555555555557,0.5555555555555557
train_loso,27,0.5555555555555556,0.5555555555555556,0.5555555555555556
train_loso,28,0.6388888888888888,0.6388888888888888,0.6388888888888888
train_loso,29,0.5277777777777778,0.5277777777777778,0.5277777777777778
train_loso,30,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,34,0.6388888888888888,0.638888888888889,0.638888888888889
train_loso,36,0.4444444444444444,0.4444444444444445,0.4444444444444445
train_loso,37,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,41,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,42,0.6111111111111112,0.611111111111111,0.611111111111111
train_loso,43,0.6388888888888888,0.6388888888888888,0.6388888888888888
train_loso,44,0.6388888888888888,0.638888888888889,0.638888888888889
train_loso,45,0.4444444444444444,0.4444444444444444,0.4444444444444444
train_loso,46,0.2777777777777778,0.27777777777777773,0.27777777777777773
train_loso,47,0.6388888888888888,0.6388888888888888,0.6388888888888888
train_loso,48,0.7222222222222222,0.7222222222222223,0.7222222222222223
train_loso,49,0.6944444444444444,0.6944444444444445,0.6944444444444445
train_loso,52,0.6944444444444444,0.6944444444444445,0.6944444444444445
train_loso,53,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,55,0.3333333333333333,0.3333333333333333,0.3333333333333333
train_loso,56,0.3611111111111111,0.36111111111111116,0.36111111111111116
train_loso,57,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,58,0.6111111111111112,0.611111111111111,0.611111111111111
train_loso,59,0.75,0.75,0.75
train_loso,60,0.6111111111111112,0.6111111111111112,0.6111111111111112
train_loso,63,0.4722222222222222,0.47222222222222227,0.47222222222222227
validation,7,0.6666666666666666,0.6666666666666666,0.6666666666666666
validation,9,0.5833333333333334,0.5833333333333334,0.5833333333333334
validation,10,0.6111111111111112,0.611111111111111,0.611111111111111
validation,14,0.6111111111111112,0.6111111111111112,0.6111111111111112
validation,19,0.4166666666666667,0.4166666666666667,0.4166666666666667
validation,35,0.5,0.5,0.5
validation,38,0.6111111111111112,0.611111111111111,0.611111111111111
validation,39,0.6388888888888888,0.638888888888889,0.638888888888889
validation,40,0.4722222222222222,0.47222222222222227,0.47222222222222227
validation,61,0.4722222222222222,0.47222222222222215,0.47222222222222215
validation,62,0.4722222222222222,0.47222222222222227,0.47222222222222227
validation,65,0.5833333333333334,0.5833333333333334,0.5833333333333334
