subject,f1,acc,n_windows,bvp_std_mean,eda_std_mean,resp_std_mean,spo2_std_mean,feat_median_cv,feat_outlier_frac,class_separability_max,class_separability_mean,class_separability_top10
55,0.2777777777777777,0.2777777777777778,36,0.86703736,51.07705,4.133643,13586.375,0.18441444635391235,0.012971698113207548,0.9562410116195679,0.43921971321105957,0.8797030448913574
11,0.3611111111111111,0.3611111111111111,36,1.1243819,128.86113,3.1053178,9749.776,0.25621727108955383,0.010744234800838574,1.139849066734314,0.5886163115501404,1.1123108863830566
46,0.3611111111111111,0.3611111111111111,36,2.3432035,18.9845,6.642346,21390.398,0.1961367130279541,0.010351153039832287,0.8311461806297302,0.3316270112991333,0.718625545501709
25,0.3611111111111111,0.3611111111111111,36,0.86356705,8.90688,1.4441687,11141.466,0.244187593460083,0.021095387840670856,1.4575551748275757,0.4361042082309723,1.0723073482513428
63,0.3888888888888888,0.3888888888888889,36,1.1800802,379.09714,3.9936624,29151.602,0.20046329498291016,0.012054507337526204,2.1851940155029297,0.9235634803771973,1.9838378429412842
45,0.4166666666666667,0.4166666666666667,36,0.8983043,561.1535,2.8884664,4436.307,0.2607119679450989,0.019785115303983226,1.5322065353393555,0.6290168166160583,1.3007115125656128
36,0.4166666666666667,0.4166666666666667,36,2.4906769,21.462591,3.06073,38464.098,0.20186035335063934,0.015854297693920334,1.5112963914871216,0.4176364541053772,1.3405495882034302
15,0.4166666666666667,0.4166666666666667,36,2.145829,14.694832,1.9446294,4451.368,0.30174461007118225,0.01690251572327044,1.5295811891555786,0.7209351658821106,1.5044385194778442
22,0.4444444444444444,0.4444444444444444,36,1.2073096,548.4323,3.3629,30103.045,0.2715648114681244,0.012447589098532495,1.5539439916610718,0.6694888472557068,1.423860788345337
56,0.4444444444444444,0.4444444444444444,36,2.323463,56.552128,5.079522,28257.988,0.21807202696800232,0.012971698113207548,1.1204578876495361,0.4696447551250458,1.0497984886169434
4,0.5,0.5,36,1.0344527,5.8598876,1.5521684,5958.96,0.2297913283109665,0.017164570230607967,2.708322286605835,0.7458783984184265,2.517718553543091
18,0.5,0.5,36,1.252994,7.997281,3.5105162,51855.555,0.2900901138782501,0.015723270440251572,1.7980995178222656,0.6354374289512634,1.3086849451065063
2,0.5,0.5,36,1.2678747,351.97354,1.2504635,2.7113574,0.3364744186401367,0.012054507337526204,2.236300468444824,0.8897919058799744,1.9248367547988892
41,0.5277777777777778,0.5277777777777778,36,1.1894192,181.51701,2.5819373,45975.355,0.24897457659244537,0.016247379454926627,2.427631378173828,0.889117956161499,2.3213305473327637
