k,loso_auc,val_auc
5,0.844248835018838,0.8420380015432098
10,0.8484863507171656,0.8542390046296297
15,0.8490863986383768,0.8557701581790124
20,0.8520370645779629,0.8546248070987655
30,0.8515454590521515,0.8661988811728396
50,0.8571596767796946,0.8540461033950616
