k,loso_auc,val_auc
5,0.789424491043691,0.8253520447530864
10,0.7995375190032388,0.8182990933641975
15,0.8031264458986053,0.8303554205246912
20,0.8121674433207747,0.8301625192901234
30,0.8118059686694428,0.8274980709876543
