modality,n_pool,best_topk_k,best_topk_loso_auc,best_topk_val_auc,best_fwd_k,best_fwd_loso_auc,best_fwd_val_auc
BVP,52,30,0.8515454590521515,0.8661988811728396,24,0.8603055390310002,0.8579041280864197
EDA,46,15,0.8031264458986053,0.8303554205246912,23,0.8234247967479675,0.8291377314814816
RESP,44,5,0.5490861920814329,0.5952932098765432,6,0.590994530372133,0.5748336226851852
SpO2,35,10,0.5856798202128363,0.634669174382716,11,0.6366157297243704,0.6400342399691358
EDA+BVP,98,75,0.8841215546301804,0.8996672453703703,8,0.8970148390508296,0.8957489390432098
EDA+BVP+RESP,142,75,0.8847040452111838,0.9002941743827161,8,0.8970148390508296,0.8957489390432098
All,177,100,0.889909280190363,0.9012104552469136,8,0.8970148390508296,0.8957489390432098
