stage1_model,stage1_norm,stage1_anchor_mode,stage2_model,stage2_norm,w0,w1,w2,train_loso_macro_f1,val_macro_f1,train_loso_accuracy,val_accuracy,modality
xgb,subject_robust,center,logreg,subject_z,0.8,1.2,1.4,0.5284552845528455,0.4791666666666667,0.5284552845528455,0.4791666666666667,bvp
xgb,subject_robust,center,logreg,subject_z,1.0,1.0,1.0,0.5284552845528455,0.5046296296296297,0.5284552845528455,0.5046296296296297,bvp
xgb,subject_robust,center,logreg,subject_z,0.6,1.4,1.6,0.5250677506775068,0.4976851851851852,0.5250677506775068,0.4976851851851852,bvp
xgb,subject_robust,center,logreg,subject_robust,0.8,1.2,1.4,0.5440379403794038,0.5162037037037036,0.5440379403794038,0.5162037037037037,bvp
xgb,subject_robust,center,logreg,subject_robust,1.0,1.0,1.0,0.5284552845528455,0.4976851851851852,0.5284552845528455,0.4976851851851852,bvp
xgb,subject_robust,center,logreg,subject_robust,0.6,1.4,1.6,0.537940379403794,0.5046296296296297,0.537940379403794,0.5046296296296297,bvp
logreg,subject_z,none,xgb,subject_z,0.8,1.2,1.4,0.5501355013550135,0.5115740740740741,0.5501355013550135,0.5115740740740741,bvp
logreg,subject_z,none,xgb,subject_z,1.0,1.0,1.0,0.5487804878048781,0.5162037037037037,0.5487804878048781,0.5162037037037037,bvp
logreg,subject_z,none,xgb,subject_z,0.6,1.4,1.6,0.5514905149051491,0.5069444444444445,0.551490514905149,0.5069444444444444,bvp
logreg,subject_z,none,xgb,subject_robust,0.8,1.2,1.4,0.5453929539295393,0.4953703703703703,0.5453929539295393,0.49537037037037035,bvp
logreg,subject_z,none,xgb,subject_robust,1.0,1.0,1.0,0.5447154471544716,0.5162037037037037,0.5447154471544715,0.5162037037037037,bvp
logreg,subject_z,none,xgb,subject_robust,0.6,1.4,1.6,0.5508130081300814,0.5231481481481481,0.5508130081300813,0.5231481481481481,bvp
logreg,subject_z,none,logreg,subject_z,0.8,1.2,1.4,0.5508130081300813,0.513888888888889,0.5508130081300813,0.5138888888888888,bvp
logreg,subject_z,none,logreg,subject_z,1.0,1.0,1.0,0.5521680216802167,0.5115740740740741,0.5521680216802168,0.5115740740740741,bvp
logreg,subject_z,none,logreg,subject_z,0.6,1.4,1.6,0.5555555555555556,0.49074074074074076,0.5555555555555556,0.49074074074074076,bvp
logreg,subject_z,none,logreg,subject_robust,0.8,1.2,1.4,0.5413279132791328,0.5023148148148149,0.5413279132791328,0.5023148148148148,bvp
logreg,subject_z,none,logreg,subject_robust,1.0,1.0,1.0,0.5386178861788617,0.5069444444444445,0.5386178861788617,0.5069444444444444,bvp
logreg,subject_z,none,logreg,subject_robust,0.6,1.4,1.6,0.5433604336043361,0.5023148148148149,0.5433604336043361,0.5023148148148148,bvp
logreg,subject_z,center,xgb,subject_z,0.8,1.2,1.4,0.5420054200542005,0.5092592592592592,0.5420054200542005,0.5092592592592593,bvp
logreg,subject_z,center,xgb,subject_z,1.0,1.0,1.0,0.540650406504065,0.513888888888889,0.540650406504065,0.5138888888888888,bvp
logreg,subject_z,center,xgb,subject_z,0.6,1.4,1.6,0.5420054200542005,0.5069444444444445,0.5420054200542005,0.5069444444444444,bvp
logreg,subject_z,center,xgb,subject_robust,0.8,1.2,1.4,0.540650406504065,0.5,0.540650406504065,0.5,bvp
logreg,subject_z,center,xgb,subject_robust,1.0,1.0,1.0,0.5325203252032521,0.5162037037037037,0.532520325203252,0.5162037037037037,bvp
logreg,subject_z,center,xgb,subject_robust,0.6,1.4,1.6,0.5331978319783198,0.5069444444444444,0.5331978319783198,0.5069444444444444,bvp
logreg,subject_z,center,logreg,subject_z,0.8,1.2,1.4,0.5359078590785908,0.5277777777777778,0.5359078590785907,0.5277777777777778,bvp
logreg,subject_z,center,logreg,subject_z,1.0,1.0,1.0,0.5318428184281843,0.5046296296296297,0.5318428184281843,0.5046296296296297,bvp
logreg,subject_z,center,logreg,subject_z,0.6,1.4,1.6,0.5318428184281843,0.5092592592592592,0.5318428184281843,0.5092592592592593,bvp
logreg,subject_z,center,logreg,subject_robust,0.8,1.2,1.4,0.5399728997289973,0.5254629629629629,0.5399728997289973,0.5254629629629629,bvp
logreg,subject_z,center,logreg,subject_robust,1.0,1.0,1.0,0.5338753387533876,0.4930555555555555,0.5338753387533876,0.4930555555555556,bvp
logreg,subject_z,center,logreg,subject_robust,0.6,1.4,1.6,0.5420054200542005,0.5023148148148149,0.5420054200542005,0.5023148148148148,bvp
logreg,subject_robust,none,xgb,subject_z,0.8,1.2,1.4,0.5602981029810298,0.5115740740740741,0.5602981029810298,0.5115740740740741,bvp
logreg,subject_robust,none,xgb,subject_z,1.0,1.0,1.0,0.5616531165311653,0.513888888888889,0.5616531165311653,0.5138888888888888,bvp
logreg,subject_robust,none,xgb,subject_z,0.6,1.4,1.6,0.5623306233062331,0.5115740740740741,0.5623306233062331,0.5115740740740741,bvp
logreg,subject_robust,none,xgb,subject_robust,0.8,1.2,1.4,0.5392953929539295,0.5231481481481483,0.5392953929539296,0.5231481481481481,bvp
logreg,subject_robust,none,xgb,subject_robust,1.0,1.0,1.0,0.5447154471544715,0.5115740740740741,0.5447154471544715,0.5115740740740741,bvp
logreg,subject_robust,none,xgb,subject_robust,0.6,1.4,1.6,0.5453929539295393,0.5185185185185185,0.5453929539295393,0.5185185185185185,bvp
logreg,subject_robust,none,logreg,subject_z,0.8,1.2,1.4,0.556910569105691,0.513888888888889,0.556910569105691,0.5138888888888888,bvp
logreg,subject_robust,none,logreg,subject_z,1.0,1.0,1.0,0.5555555555555555,0.5115740740740741,0.5555555555555556,0.5115740740740741,bvp
logreg,subject_robust,none,logreg,subject_z,0.6,1.4,1.6,0.5535230352303523,0.5092592592592592,0.5535230352303523,0.5092592592592593,bvp
logreg,subject_robust,none,logreg,subject_robust,0.8,1.2,1.4,0.5562330623306233,0.5324074074074073,0.5562330623306233,0.5324074074074074,bvp
logreg,subject_robust,none,logreg,subject_robust,1.0,1.0,1.0,0.5426829268292682,0.5023148148148148,0.5426829268292683,0.5023148148148148,bvp
